drug,gene_symbol,block_assignment,shared_modalities,tissue_modalities,tissue_blocks
(5Z)-7-Oxozeaenol,AKR1B10,shared,expression,NA,NA
(5Z)-7-Oxozeaenol,BAX,shared,rppa_total,NA,NA
(5Z)-7-Oxozeaenol,BRAF,tissue,NA,mutation,SKIN
(5Z)-7-Oxozeaenol,FRMD4B,tissue,NA,copy_number,SKIN
(5Z)-7-Oxozeaenol,G6PD,shared,rppa_total,NA,NA
(5Z)-7-Oxozeaenol,MAP2K1,shared,rppa_phospho;rppa_total,NA,NA
(5Z)-7-Oxozeaenol,PREX1,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
(5Z)-7-Oxozeaenol,TP53,both,mutation,mutation,LUNG
5-Fluorouracil,ACTR3BP2,shared,copy_number,NA,NA
5-Fluorouracil,ADAM6,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ADNP,tissue,NA,copy_number,BREAST
5-Fluorouracil,ADRBK1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,AMIGO2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,AMOTL2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ANKRD13D,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ANXA7,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ARHGAP40,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ARHGEF18,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,ARL17A,shared,copy_number,NA,NA
5-Fluorouracil,ATL1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,ATP1B1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BAIAP2L1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,BAX,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BCAS4,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,BIN2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,C19ORF33,tissue,NA,expression,CENTRAL_NERVOUS_SYSTEM
5-Fluorouracil,C7ORF10,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,C9,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,CASC5,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,CAV1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,CAV2,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,CCDC152,tissue,NA,copy_number,AUTONOMIC_GANGLIA
5-Fluorouracil,CLCF1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,CNTN3,tissue,NA,copy_number,LUNG
5-Fluorouracil,CRIM1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,CUEDC1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,CXORF21,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,CYTIP,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,DDX27,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,DNAH12,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;OVARY
5-Fluorouracil,DUSP7,tissue,NA,copy_number,BONE
5-Fluorouracil,EIF4E,tissue,NA,rppa_total,LARGE_INTESTINE
5-Fluorouracil,EIF4EBP1,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,FAM65C,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,FNDC3B,tissue,NA,copy_number,SKIN
5-Fluorouracil,FSTL3,tissue,NA,copy_number,OVARY
5-Fluorouracil,G6PD,shared,rppa_total,NA,NA
5-Fluorouracil,GGT8P,both,copy_number,copy_number,LARGE_INTESTINE
5-Fluorouracil,GMFG,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,GOLGA6L9,shared,copy_number,NA,NA
5-Fluorouracil,GOLGA8B,shared,copy_number,NA,NA
5-Fluorouracil,GPR126,tissue,NA,expression,CENTRAL_NERVOUS_SYSTEM
5-Fluorouracil,HNF4A,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,HYAL1,tissue,NA,copy_number,LUNG
5-Fluorouracil,IGFBP6,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,IKZF1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,IL13RA1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,IMMP2L,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,IP6K1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,KCNB1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,KCNG1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,KCNK12,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,KDM2A,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,KIAA0125,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LAMP2,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LAPTM5,tissue,NA,expression,SKIN
5-Fluorouracil,LAT2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LGALS3,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,LINC00494,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LINC00651,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LOC100131496,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LOC100505783,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LOC100506776,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,LPCAT1,tissue,NA,copy_number,OVARY
5-Fluorouracil,LRIG3,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,LZTFL1,tissue,NA,copy_number,BONE
5-Fluorouracil,MAGEC3,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MARCKS,tissue,NA,expression,BONE;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MBD3L2,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,MET,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,MIR3194,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MIR3616,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MIR645,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MOCS3,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MSH2,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,MSRB3,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,MYB,tissue,NA,expression,KIDNEY
5-Fluorouracil,MYOF,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,NCKAP1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,NCOA3,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,NFATC2,tissue,NA,copy_number,BREAST;LARGE_INTESTINE
5-Fluorouracil,NSFP1,shared,copy_number,NA,NA
5-Fluorouracil,ORAOV1,tissue,NA,copy_number,BREAST
5-Fluorouracil,PARD6B,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PDE1C,tissue,NA,copy_number,LARGE_INTESTINE
5-Fluorouracil,PEA15,shared,rppa_total,NA,NA
5-Fluorouracil,PERP,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,PIR,tissue,NA,expression,BONE
5-Fluorouracil,PLA2G16,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,PLEKHA1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PLS3,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PON2,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,PPIC,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,PREX1,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PRSS23,tissue,NA,expression,BONE
5-Fluorouracil,PRSS57,tissue,NA,copy_number,OVARY
5-Fluorouracil,PTEN,tissue,NA,rppa_total,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PTGIS,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PTPN1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,PTX3,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,RAD51,tissue,NA,rppa_total,SKIN
5-Fluorouracil,RGCC,tissue,NA,copy_number,LUNG
5-Fluorouracil,RICTOR,tissue,NA,rppa_phospho,BREAST
5-Fluorouracil,RIN2,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,RNF114,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,RPS17L,shared,copy_number,NA,NA
5-Fluorouracil,RPS6KB1,both,rppa_phospho;rppa_total,rppa_phospho,LUNG
5-Fluorouracil,RRAS2,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SCRN1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SDC4,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,SLC35B4,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SLC9A8,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SNORD12B,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SPATA2,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SPEF2,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SRSF1,shared,rppa_total,NA,NA
5-Fluorouracil,STAU1,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,STT3B,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,SYBU,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TBC1D10C,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TFPI,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TGFBI,tissue,NA,expression,SKIN
5-Fluorouracil,TJP1,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TMEM131,tissue,NA,copy_number,LUNG
5-Fluorouracil,TMEM189,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TNFRSF12A,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,TP53,both,mutation,mutation,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;LUNG
5-Fluorouracil,TRIM49B,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,TSHZ2,tissue,NA,copy_number,BREAST
5-Fluorouracil,TSPAN6,tissue,NA,expression,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
5-Fluorouracil,VAV1,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,WWTR1,shared,rppa_total,NA,NA
5-Fluorouracil,YAP1,tissue,NA,expression,AUTONOMIC_GANGLIA
5-Fluorouracil,ZNF217,tissue,NA,copy_number,BREAST
5-Fluorouracil,ZNF679,tissue,NA,copy_number,PANCREAS
5-Fluorouracil,ZNF815P,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;PANCREAS
681640,ALDH1B1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ANKRD37,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ANKRD39,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ANXA6,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ARHGAP22,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
681640,ARX,tissue,NA,expression,BONE
681640,ASF1A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ASNSD1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ATP6V0E2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ATP6V1B2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ATP9B,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,B3GALT2,tissue,NA,copy_number,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
681640,BRF2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,C11ORF73,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,C11ORF82,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,C3ORF38,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,C7ORF55,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CACYBP,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CAPN8,tissue,NA,expression,LUNG
681640,CCDC135,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CDKN2AIP,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CENPL,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CHAC2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CHCHD3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CMC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,COX11,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,COX20,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,CYP4F22,tissue,NA,expression,BONE
681640,DDX49,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,DGKG,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,DLG2,tissue,NA,expression,BONE
681640,DOCK11,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,DPYSL2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,E2F5,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,EFHA1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,EID2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ELP6,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ENY2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,EPC2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FAM118B,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FAM175A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FAM216A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FARSA,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FECH,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FH,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,FXN,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,GAMT,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,GLRX2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,GPT2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,GREB1L,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,GRP,tissue,NA,expression,BONE
681640,GTF3A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HAUS1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HCG18,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HDHD1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HIRA,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HMGB1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HNRNPC,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,HS3ST4,tissue,NA,expression,BONE
681640,HSD17B10,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ID2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,INTS9,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ISOC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,KCTD20,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,KHDRBS3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,KHK,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,KRT20,tissue,NA,expression,LARGE_INTESTINE
681640,LAGE3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,LIPI,tissue,NA,expression,BONE
681640,LOC100128361,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,LOC100507334,tissue,NA,copy_number,AUTONOMIC_GANGLIA
681640,LYSMD1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MAGOH2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MAGOHB,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MAPRE2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MCPH1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ME3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MEF2BNB,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,METTL12,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,METTL25,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MON1A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MPC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MTERFD2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,MUT,both,expression,expression,BREAST;CENTRAL_NERVOUS_SYSTEM;HAEMATOPOIETIC_AND_LYMPHOID_TISSUE;LARGE_INTESTINE;LUNG;UPPER_AERODIGESTIVE_TRACT
681640,MYEF2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,"NAF1",tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,NDUFAF4,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,NFU1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,NHEJ1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,NLE1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,NSL1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,OAZ3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ODC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,OR52L1,both,copy_number,copy_number,AUTONOMIC_GANGLIA
681640,PARPBP,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PCM1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PDCD5,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PHF17,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PIAS2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PIN1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PINX1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PKI55,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PMVK,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,POLR3C,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PPCDC,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PPP1R1A,tissue,NA,expression,BONE
681640,PRAC,tissue,NA,expression,BONE
681640,PRADC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PRF1,tissue,NA,mutation,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
681640,PRKX,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PRPF19,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PRR3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,PSTK,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,QPRT,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,R3HCC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RABIF,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RBM11,tissue,NA,expression,BONE
681640,RBM15B,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RFC3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RMND1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RNF187,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RNFT2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RPL10L,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RPP40,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RPS23,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,RRP15,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SAP30,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SEC11C,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SKA3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SLC25A20,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SLC25A33,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SLC25A38,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SMAD2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SMYD3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SRM,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SRSF8,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SVIP,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,SYNPR,tissue,NA,expression,BONE
681640,TAF15,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TAF9B,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TATDN3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TBL1X,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TCAIM,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TFPT,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,THAP1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,THAP8,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TIPIN,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TMEM160,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TPGS1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TPGS2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TRAPPC2L,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TRIM24,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TSHZ1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TTLL11,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TXNL1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,TXNL4A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,UBL7,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,UFC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,UFSP2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,UPRT,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,URB2,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,USE1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,UTP14A,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,WDR7,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZBED3,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZC3HC1,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZFHX4,tissue,NA,mutation,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
681640,ZNF14,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF184,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF227,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF271,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF280B,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF320,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF428,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF468,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF608,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF71,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
681640,ZNF816,tissue,NA,expression,UPPER_AERODIGESTIVE_TRACT
