comparison,n_gene_blocks,n_unique_gene_drug,n_unique_genes,median_expr_tau,median_expr_top_to_median,broad_fraction,restricted_fraction,direct_target_fraction
DSEN shared,2296,2296,1211,0.13578209935884078,1.1460156039824931,0.15853658536585366,0.4250871080139373,0.0078397212543554
DSEN tissue,7408,7408,2647,0.1468887743383605,1.148556456437811,0.10718142548596113,0.42319114470842334,0.0017548596112311014
EN,6037,6037,2377,0.13877416927966596,1.1452853634088735,0.16001325161504057,0.41295345370216996,0.003312903760145768
