drug,gene_symbol,block,relevant_tissues,modalities,expr_tau,expr_class,expr_top_tissue,expr_top_to_median,direct_target,pct_improvement_dsen,lto_pct_improvement
JNK Inhibitor VIII,SERPINE1,shared,NA,rppa_total,0.4204701246391254,restricted,FIBROBLAST,1.7487733633169833,FALSE,4.22947940369299,2.3446105878242722
Dactolisib,RAB25,shared,NA,rppa_total,0.4214821695290674,restricted,LARGE_INTESTINE,2.488185868639405,FALSE,0.952486321898995,0.8985652232398681
Cytarabine,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,5.41527060030388,1.4570999546231487
GSK269962A,CDH1,shared,NA,rppa_total,0.3306991356054596,restricted,LARGE_INTESTINE,1.537450626051837,FALSE,1.38254602657096,0.24333578077915888
Daporinad,MFNG,shared,NA,expression,0.524101804331586,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.1273717462342585,FALSE,6.52400670005628,-1.2535514619015373
Navitoclax,ABCA13,shared,NA,copy_number,0.19611960581127033,restricted,OESOPHAGUS,1.2543182115274953,FALSE,7.33644040164538,6.441587042087721
Elesclomol,FRAS1,shared,NA,copy_number,0.29497975827570777,restricted,CERVIX,1.3664528032899552,FALSE,3.34292038992637,-0.6277039651830623
QL-XI-92,CXORF21,shared,NA,expression,0.5113220766383705,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.0510796210671094,FALSE,8.24017749411482,4.403407544065056
SB216763,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,1.46741425080646,0.9914854945788555
Trametinib,ZNF717,tissue,SKIN,copy_number,0.03271997266722702,broad,AUTONOMIC_GANGLIA,1.025804742851197,FALSE,8.31336960760879,-4.761352991175323
BX-912,AGPAT9,shared,NA,expression,0.2851348993917917,restricted,SKIN,1.2641254831415962,FALSE,6.47729232929053,2.1807207170561504
Vinblastine,ACTC1,shared,NA,copy_number,0.31269853753323024,restricted,FIBROBLAST,1.4666069981457803,FALSE,3.52858367133823,-0.23505429592699656
MG-132,CLDN7,shared,NA,rppa_total,0.28730128380520237,restricted,PROSTATE,1.3596623833832426,FALSE,8.34316997182102,NA
Enzastaurin,RCSD1,shared,NA,expression,0.598106718642782,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.4891892803765674,FALSE,0.497024745000201,-0.15255853851686807
XAV939,ITGA2,shared,NA,rppa_total,0.2512738329105852,restricted,PANCREAS,1.2580756138911693,FALSE,0.0960927518166848,0.650792825766064
Refametinib_repl_1014,NRAS,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,mutation,0.04264161473598019,broad,LIVER,1.0302772252326466,FALSE,3.6131286010883,-9.800441545313724
Luminespib,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,1.20039728762985,0.43146497196503786
CAY10603,WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,8.62523276179811,-0.2822827760414449
Afatinib_repl_1377,GRB7,shared,NA,copy_number,0.18235067583274017,restricted,BILIARY_TRACT,1.2007717155348985,FALSE,8.76609450447551,2.693519744707862
MG-132,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,8.34316997182102,NA
Linifanib,PRTN3,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,0.0461322778801211,broad,SMALL_INTESTINE,1.047350859400259,FALSE,2.22514589133119,3.0439834804847554
AZD7762,C9ORF152,shared,NA,expression,0.5184047549738464,restricted,LARGE_INTESTINE,2.17550946183062,FALSE,8.65308477201097,0.31047237284638796
TPCA-1,NDRG1,shared,NA,rppa_phospho,0.2237011055526069,restricted,KIDNEY,1.2832845352814652,FALSE,18.7709768169356,7.322076226708722
CGP-082996,PRDM9,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.03147404471159128,broad,BILIARY_TRACT,1.0322417733619513,FALSE,5.90839913554929,NA
HG-5-88-01,BCOR,shared,NA,copy_number,0.1804918736751809,restricted,AUTONOMIC_GANGLIA,1.236637272758416,FALSE,5.03633367908072,9.429581599475804e-4
GSK1070916,RAG1,shared,NA,expression,0.37418625261526745,restricted,SALIVARY_GLAND,1.598122573629259,FALSE,12.2799112452315,-0.595385679736336
Refametinib_repl_1014,ITGA2,shared,NA,rppa_total,0.2512738329105852,restricted,PANCREAS,1.2580756138911693,FALSE,3.6131286010883,-9.800441545313724
Bleomycin (50 uM),WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,7.45408438663825,2.260925719601204
Palbociclib,SMAD3,shared,NA,rppa_total,0.17379969628538017,restricted,PLEURA,1.1975000554482809,FALSE,-0.682857296622192,0.49723205868349213
BX-912,RCSD1,shared,NA,expression,0.598106718642782,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.4891892803765674,FALSE,6.47729232929053,2.1807207170561504
Pelitinib,SYK,shared,NA,rppa_total,0.3597383929561978,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.6137190330475226,FALSE,1.70985545732213,2.476938143275056
Elesclomol,VIL1,shared,NA,expression,0.5996960493111176,restricted,LARGE_INTESTINE,2.5826934058563387,FALSE,3.34292038992637,-0.6277039651830623
Bleomycin (50 uM),TMEM45B,shared,NA,expression,0.46447588091904024,restricted,LARGE_INTESTINE,2.190904424422706,FALSE,7.45408438663825,2.260925719601204
Genentech Cpd 10,SALL4,shared,NA,copy_number,0.5404759887134388,restricted,SMALL_INTESTINE,2.2533592009069463,FALSE,6.46009814011629,3.253673072872552
CGP-082996,LOC340107,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.04461186687819554,broad,CERVIX,1.04572795611387,FALSE,5.90839913554929,NA
AT-7519,LRMP,shared,NA,expression,0.5723291912891136,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.346080323089516,FALSE,9.51141825045037,7.8430492996276
Omipalisib,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,4.34993063150511,3.166341180621466
MG-132,PKDREJ,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,mutation,0.031041131579596315,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.032558055349799,FALSE,8.34316997182102,NA
Daporinad,CEACAM6,shared,NA,expression,0.5205304121289687,restricted,PANCREAS,2.4113679927006433,FALSE,6.52400670005628,-1.2535514619015373
Bleomycin (50 uM),MID1,shared,NA,copy_number,0.24820190452428123,restricted,SMALL_INTESTINE,1.286931007454205,FALSE,7.45408438663825,2.260925719601204
TL-2-105,PRSS1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.05090273074354668,broad,PANCREAS,1.0495237782408813,FALSE,7.75073371693296,7.9272170733242735
Pelitinib,PEA15,shared,NA,rppa_total,0.17279098322404585,restricted,FIBROBLAST,1.2049417979018133,FALSE,1.70985545732213,2.476938143275056
Vinblastine,CLDN3,shared,NA,expression,0.4440655620542307,restricted,LARGE_INTESTINE,2.1127453651522647,FALSE,3.52858367133823,-0.23505429592699656
CAY10603,GDF15,shared,NA,expression,0.3125709342158934,restricted,SKIN,1.4022385469585728,FALSE,8.62523276179811,-0.2822827760414449
Lestauritinib,ACTC1,shared,NA,copy_number,0.31269853753323024,restricted,FIBROBLAST,1.4666069981457803,FALSE,6.10213528290296,6.18707375850848
Midostaurin,WWTR1,shared,NA,rppa_total,0.23071783146072808,restricted,KIDNEY,1.244301476752153,FALSE,0.082977824385362,-0.4369247366230667
CP466722,BSN-AS2,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.03900472420173201,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0394897944423978,FALSE,8.03413194698878,8.12396608484664
PI-103,AKR1C3,shared,NA,expression,0.28666738682850634,restricted,KIDNEY,1.3056594803843908,FALSE,3.78188593902709,3.9798985195814525
TPCA-1,ATP13A5,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.04743793943513055,broad,BILIARY_TRACT,1.0470745285398162,FALSE,18.7709768169356,7.322076226708722
GSK1904529A,CTNNA1,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,rppa_total,0.0391358485392549,broad,PLEURA,1.0293396341081795,FALSE,2.50710867176317,1.2114527989353283
Talazoparib,SLFN11,shared,NA,expression,0.34450154051406,restricted,BONE,1.6698799383169332,FALSE,9.91884930155864,6.892600950827124
CX-5461,SPEF2,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,0.04469832150443738,broad,KIDNEY,1.044940229620527,FALSE,14.0081830315616,5.5936504061175505
SN-38,LOC100506776,shared,NA,copy_number,0.47256423903327904,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.8976050374482298,FALSE,6.51489067950258,5.890731459542061
PHA-793887,LRMP,shared,NA,expression,0.5723291912891136,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.346080323089516,FALSE,11.7890247800736,6.748344394936162
Dactolisib,IGFBP2,shared,NA,rppa_total,0.268379103420833,restricted,SMALL_INTESTINE,1.2853173770658517,FALSE,0.952486321898995,0.8985652232398681
PD0325901,NXF3,tissue,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,0.05456685507880005,broad,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1.0530890319737563,FALSE,4.97995465677282,-4.246488908807473
GSK1070916,SYTL2,shared,NA,expression,0.3070181960465139,restricted,KIDNEY,1.4431018255289463,FALSE,12.2799112452315,-0.595385679736336
Refametinib,S100B,shared,NA,expression,0.6963946923148382,restricted,SKIN,3.3110104427517477,FALSE,10.4566022903118,-11.402025370450845
Enzastaurin,DOCK2,shared,NA,expression,0.6320187517431444,restricted,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.836009734317222,FALSE,0.497024745000201,-0.15255853851686807
QL-XI-92,PREX1,shared,NA,rppa_total,0.3149928408613471,restricted,BONE,1.484607223712422,FALSE,8.24017749411482,4.403407544065056
Omipalisib,FAM219A,shared,NA,copy_number,0.20137520837648823,restricted,AUTONOMIC_GANGLIA,1.2453822097644554,FALSE,4.34993063150511,3.166341180621466
Serdemetan,CAV1,shared,NA,rppa_total,0.21064458915956624,restricted,SALIVARY_GLAND,1.1550410971538845,FALSE,2.20549946521956,2.317970776248308
XMD15-27,QPCT,shared,NA,expression,0.4723937087792136,restricted,SKIN,1.91444801716077,FALSE,1.90190307656748,-0.15373639838997294
CCT007093,SDC3,shared,NA,copy_number,0.2921297377872189,restricted,SKIN,1.4221836992027324,FALSE,0.224041645735934,0.8402486803033697
