drug,method,block,gene_symbol,relevant_tissues,modalities,n_supporting_features,supporting_features,max_selection_count,max_abs_coef,signed_coef,expr_tau,expr_entropy,expr_top_tissue,expr_second_tissue,expr_top_median,expr_second_median,expr_median_tissue,expr_top_to_median,expr_class,target_type,target_pathway,direct_target,pct_improvement_dsen,lto_pct_improvement,dsen_shared_win_rate
5-Fluorouracil,DSEN,shared,PEA15,NA,rppa_total,1,PEA15,117,7.636328558293873e-4,7.636328558293873e-4,0.17279098322404585,0.999235064607114,FIBROBLAST,PLEURA,12.10721,11.42169,10.0479625,1.2049417979018133,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,shared,RPS17L,NA,copy_number,1,RPS17L_CN,119,8.167041274128802e-4,-8.167041274128802e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,shared,RPS6KB1,NA,rppa_phospho;rppa_total,2,p70S6K;p70S6K_pT389,192,0.00306146149404059,-0.00306146149404059,0.07956032500896933,0.9999161721688721,SMALL_INTESTINE,PLEURA,9.788775999999999,9.222334,9.02900725,1.0841475401406948,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,shared,SRSF1,NA,rppa_total,1,SF2,151,0.0015377416825053845,-0.0015377416825053845,0.057074446808297576,0.999881426906812,AUTONOMIC_GANGLIA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.98489,10.821435000000001,10.389957500000001,1.057260340092825,broad,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,shared,TP53,NA,mutation,1,TP53_mut.hs,120,0.0011679096340376388,0.0011679096340376388,0.12687230869689042,0.9989487545823764,THYROID,STOMACH,8.278982,8.16865,7.3216505,1.1307535097448314,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,shared,WWTR1,NA,rppa_total,1,TAZ,173,0.0020658116747779348,0.0020658116747779348,0.23071783146072808,0.9950988199915882,KIDNEY,SKIN,10.40885,10.18523,8.3652155,1.244301476752153,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ADAM6,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,ADAM6_CN,147,0.004440141398643097,0.004440141398643097,0.06263219471224687,0.9999461943009232,BILIARY_TRACT,OESOPHAGUS,4.221963499999999,4.066258,3.9689065,1.0637598794529424,intermediate,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ADNP,BREAST,copy_number,1,ADNP_CN,132,0.001405233011893779,0.001405233011893779,0.0477404343546844,0.9999237684946376,AUTONOMIC_GANGLIA,BREAST,10.96293,10.74245,10.421785,1.0519244064236597,broad,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,ADRBK1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,copy_number,1,ADRBK1_CN,126,0.001457570480721481,0.001457570480721481,0.20939378748741988,0.9993707044860732,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BILIARY_TRACT,7.9664225,6.71415,6.3191215,1.2606851284628726,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
5-Fluorouracil,DSEN,tissue,AMIGO2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,expression,1,AMIGO2_Expr,182,0.0027937745425803922,0.0027937745425803922,0.255255564008021,0.9900949407167329,KIDNEY,URINARY_TRACT,12.71161,12.335275,10.4394225,1.21765452064039,restricted,NA,NA,FALSE,10.3599555671561,3.1072259023703506,0.769230769230769
