"drug","status","n_samples","n_tissues","mse_en","mse_dsen","pct_improvement","alpha_en","alpha_dsen","lamrat_dsen","lambda_en","lambda_dsen"
"Methotrexate","success",684,12,0.0172048363421,0.0149786387532436,12.939370910544,0.1,1,1,0.110669483604888,0.00767032884218867
"Tretinoin","success",675,12,0.0110907191663181,0.0107040166946942,3.48672133722684,0.05,0.05,2,0.21947247785677,0.103426823166918
"Gefitinib","success",682,12,0.00489871200110482,0.00404651788063099,17.3962894793904,0.15,0.8,4,0.055256279125271,0.000769760259677346
"Navitoclax","success",706,13,0.0304771781561346,0.0282412381446065,7.33644040164551,0.05,0.05,1,0.215495919623247,0.115119696666423
"Vorinostat","success",686,12,0.0169707775590949,0.0154709881345816,8.8374820734691,0.05,0.05,2,0.201002933426146,0.115800508815592
"Nilotinib","success",649,12,0.00968717296524351,0.00771914671709674,20.3157954875775,1,1,0.5,0.00243014422393909,0.00348509391425691
"Refametinib_repl_1014","success",675,12,0.0273062198225003,0.0263196109842175,3.61312860108848,1,0.1,4,0.0150895540338249,0.0239944833622517
"CI-1040","success",681,12,0.0209529003167445,0.0195399419260148,6.74349788988678,0.9,0.3,2,0.0172953433282496,0.0058463836034298
"Temsirolimus","success",676,12,0.0312977419305334,0.0304144121988512,2.82234332956898,0.05,0.05,4,0.314152820737584,0.138823978990306
"Olaparib_repl_1017","success",686,12,0.00179565634676234,0.00176922555468158,1.47192931032773,0.05,0.05,4,0.24519942567193,0.0236272526090525
"Veliparib","success",685,12,0.000425801512026815,0.000421952256820796,0.904002239845616,0.05,0.05,4,0.100290215661049,0.0209268172808356
"Bosutinib","success",686,12,0.00894622468726361,0.00804999129853376,10.018006701819,0.05,0.1,4,0.167640073686943,0.0200353347963734
"Lenalidomide","success",686,12,0.000981899590738237,0.000981622711024487,0.0281983734754642,0.05,0.05,2,0.192230497769131,0.270417064036001
"Axitinib","success",683,12,0.00686571293328049,0.00636415167288916,7.30530485712689,1,0.7,2,0.0125405671077196,0.00681861481129392
"AZD7762","success",684,12,0.0258540400892153,0.0236168680833058,8.65308477201091,0.05,0.05,1,0.186592277013795,0.112693889166968
"GW441756","success",684,12,0.00503185807927945,0.00499970661312224,0.638958127408292,0.05,0.05,1,0.315849944446568,0.264276084608861
"Lestauritinib","success",684,12,0.0286275419392055,0.0268806506019054,6.10213528290284,0.05,0.05,1,0.215039936264858,0.156486708750382
"SNX-2112","success",753,13,0.0531887960529019,0.0469316006442209,11.764123035343,1,0.1,2,0.0206391993689366,0.112792256547965
"THZ-2-102-1","success",748,13,0.0705808360629076,0.0652282378212832,7.58364244488931,0.05,0.05,2,0.324425789921971,0.221608716695258
"SB216763","success",590,11,0.000691454860642289,0.00068130835347933,1.46741425080645,0.05,0.05,0.5,0.0742503538333995,0.134114006228007
"Erlotinib","success",224,3,0.00378240671366121,0.00381195332178906,-0.781158938332505,0.7,0.05,4,0.0267428933517994,0.0848223232414587
"Rapamycin","success",227,3,0.0455823438005854,0.044040236388504,3.38312443701411,0.05,0.05,2,1.52853274660414,0.194915174694001
"Sunitinib","success",261,4,0.0220516785214619,0.0191266172663737,13.2645741785203,0.05,0.05,2,0.423213425932037,0.115469403868474
"PHA-665752","success",266,4,0.00138612221185996,0.0013617812093473,1.75605024610372,0.05,0.3,0.125,0.427024965718172,0.0774138774767726
"MG-132","success",264,4,0.0146231863149554,0.0134031490254026,8.3431699718213,0.05,0.05,1,0.491734123567479,0.014920057490929
"Paclitaxel","success",262,4,0.0345517684515201,0.0335077425586086,3.02162795046633,0.1,1,4,0.309354382332241,0.055105745715962
"Cyclopamine","success",262,4,0.00146375899315558,0.00145625848884222,0.512413884282409,0.05,0.05,0.5,0.311545470220183,0.196673484595675
"AZ628","success",268,4,0.0251307170627777,0.0235717674095804,6.20336319613559,0.05,0.2,2,0.340942053383663,0.0411148759154451
"Sorafenib","success",266,4,0.0171382840273768,0.0158860021223379,7.30692701228758,1,0.05,4,0.0668859616412738,0.128498837479605
"Tozasertib","success",257,4,0.0386117227107989,0.0347968441748013,9.88010445576586,1,1,0.125,0.0416566190624644,0.14897503517224
"Imatinib","success",266,4,0.00762495541959228,0.0067193812373954,11.8764521543301,0.05,0.05,4,0.0935132943261806,0.0589601926573544
"NVP-TAE684","success",264,4,0.026996886128683,0.025138919355499,6.88215212794476,0.05,1,4,0.294016846294898,0.0155564296265297
"Crizotinib","success",264,4,0.00549414304322656,0.00489078096758484,10.9819142110901,0.7,0.05,0.125,0.0148716423663519,0.263431083924006
"Saracatinib","success",266,4,0.00665253191822843,0.00630405788336637,5.23821665413153,0.05,0.05,2,0.14902450097596,0.0981980023744168
"S-Trityl-L-cysteine","success",261,4,0.0168807135061401,0.016322547488955,3.30653095310229,1,0.1,2,0.0239302829956733,0.125782965547294
"Z-LLNle-CHO","success",261,4,0.00805362945836515,0.00765110116624647,4.99809799047291,0.3,1,2,0.0422438408643373,0.00877064334554896
"Dasatinib","success",258,4,0.0644228029306228,0.0566045843922563,12.1357938225476,0.05,0.15,4,0.573089514177857,0.0489738462219637
"GNF-2","success",236,3,0.00323736294095815,0.00250166892106271,22.7251016741949,0.05,0.15,4,0.109124217144141,0.00906680351958311
"CGP-60474","success",261,4,0.014592421648643,0.014198389938062,2.70024893789716,0.1,0.05,4,0.19838585985248,0.149485858046533
"CGP-082996","success",261,4,0.00266037941132944,0.00250319357718812,5.90839913554917,0.05,0.05,4,0.119063593361702,0.0820945130849494
"A-770041","success",262,4,0.0330535838651078,0.0326052549825084,1.35636996105798,0.05,0.05,4,1.3850247899774,0.368422332823355
"WH-4-023","success",259,4,0.044550449895806,0.0380105275905322,14.679812034602,0.05,0.3,2,0.544317037620243,0.0776546824701338
"WZ-1-84","success",261,4,0.00315899066766918,0.00301687303490239,4.49883040875355,0.05,0.05,4,0.522598289949206,0.0439094485565859
"BI-2536","success",236,3,0.0236945927676779,0.0242014119968504,-2.13896577224103,0.05,0.05,0.5,0.3590525953931,1.08873358442289
"BMS-536924_repl_62","success",261,4,0.0240846822833351,0.0241680927915103,-0.34632181232045,0.1,0.3,4,0.241225838887982,0.159438568480472
"BMS-509744","success",262,4,0.00415268712457694,0.00414810012856329,0.11045850255622,0.5,0.4,2,0.0313688969358285,0.0429018970324095
"CMK","success",261,4,0.00595568199848979,0.00576226233341873,3.24764930565642,0.05,0.4,4,0.204379098389396,0.0303055624641172
"Pyrimethamine","success",265,4,0.0118153352637331,0.0110346211779162,6.60763379447503,0.05,0.8,4,0.846371391399233,0.0181256240584184
"JW-7-52-1","success",236,3,0.0471632024955502,0.0449258522062457,4.74384725998103,1,1,0.5,0.0408285027995047,0.0522394291019807
"A-443654","success",261,4,0.0176136978941067,0.0173546565302035,1.47068131553399,0.05,0.05,4,0.670271692220394,0.445129002067169
"GW843682X","success",262,4,0.0395102013578125,0.0386097226162865,2.2791044099498,0.1,1,2,0.2242213194597,0.0213471561587072
"Entinostat","success",267,4,0.029052488136054,0.0289175838846574,0.464346636215149,0.05,0.05,4,0.8493025626272,0.48222264938449
"Parthenolide","success",266,4,0.00398335452725107,0.00395953112658448,0.598073822041242,0.05,0.15,2,0.401283485170927,0.173529433338842
"GSK319347A","success",265,4,0.000346800821929366,0.000341155514082667,1.62782424081124,1,0.7,4,0.0089154283274692,0.00234927072588926
"TGX221","success",263,4,0.00440317975079765,0.00372907135467841,15.3095815812908,0.05,1,2,0.154715226315907,0.00227194199814449
"Bortezomib","success",266,4,0.0308202967067919,0.0294071648370775,4.5850689990373,0.1,0.05,2,0.270900709111456,0.0661206351779544
"XMD8-85","success",263,4,0.0065189232296706,0.0066376568032081,-1.82136787555781,0.1,0.05,2,0.0954812912620118,0.120832253425392
"Seliciclib","success",265,4,0.00189380184559638,0.00179520008902767,5.20655087531919,0.05,0.05,1,0.0582696402573276,0.058117461623055
"Salubrinal","success",264,4,0.00433745012740484,0.00429906572746556,0.884953113276439,0.05,0.05,0.5,0.372265276047757,0.38642263674068
"Lapatinib","success",265,4,0.00282336462240331,0.00273035107384898,3.29442211665732,0.05,0.05,2,0.836691474093986,0.0363021760959602
"GSK269962A_repl_127","success",266,4,0.0196804215685319,0.0187864799519027,4.54228896223772,0.05,0.1,4,0.561321054094859,0.114469293835349
