"drug","status","n_samples","n_tissues","mse_en","mse_dsen","pct_improvement","alpha_en","alpha_dsen","lamrat_dsen","lambda_en","lambda_dsen"
"JQ1","success",751,13,0.00420338188580499,0.00397377582343879,5.46241261450906,0.05,0.05,4,0.138325147811548,0.0884104092922685
"PFI-1","success",790,14,0.00631279016781041,0.00614369502218052,2.67861185204805,0.5,0.2,2,0.0160648904484947,0.0192431975881752
"IOX2","success",787,14,0.00110592796152512,0.00110588284777741,0.00407926639698315,0.05,0.05,0.5,0.192631461448177,0.528504645320287
"UNC0638","success",790,14,0.00903382876867808,0.00879410507683945,2.65362226777865,0.05,0.05,4,0.120441456606962,0.0438681758179962
"YK-4-279","success",610,11,0.014234879390668,0.0143746347329143,-0.981781007135906,0.05,0.15,2,0.0965073659238741,0.0427544458907744
"CHIR-99021","success",751,13,0.00281715949241111,0.00266639588233811,5.35161784340303,0.05,0.1,4,0.066451421107616,0.00754724455518473
"(5Z)-7-Oxozeaenol","success",752,13,0.0244324585886342,0.0224052354509772,8.29725395953427,0.5,1,2,0.0250264148959371,0.00373855975802273
"Piperlongumine","success",762,13,0.00700516109349702,0.00686713107950804,1.97040456524414,0.05,1,2,0.159178500325853,0.00463430022441619
"Daporinad","success",738,13,0.0990836432512528,0.0926194197268812,6.52400670005632,0.05,0.05,2,0.39723941638922,0.160689238856147
"Talazoparib","success",751,13,0.0386268838046984,0.0347955414102222,9.91884930155867,0.05,0.7,2,0.25481387613842,0.0046574831499798
"rTRAIL","success",757,13,0.00935238152446379,0.00917992069928709,1.84403111363217,0.05,0.4,4,0.279760066243906,0.0267740347212395
"UNC1215","success",748,13,0.000105449729680264,0.000104574134641357,0.830343559497616,0.1,0.6,1,0.0152275887774492,0.00322125455592276
"SGC0946","success",747,13,0.000189177124687828,0.000187735799900097,0.761891687543979,1,0.15,4,0.00433934794180535,0.00893148672450845
"XAV939","success",755,13,0.0021321410426755,0.00213009220967498,0.096092751816705,0.05,0.05,1,0.070547848335474,0.0939871105814897
"PLX-4720_repl_1371","success",754,13,0.00407261133732324,0.00417583216073306,-2.53451200864312,1,1,2,0.0112839912871353,0.00168817666356104
"Trametinib","success",738,13,0.0630775732828775,0.0578337014763616,8.31336960760882,0.4,0.3,4,0.0517665343769942,0.0149239636162212
