"feature_name","gene_symbol","feature_type"
"PTEN_mut.hs","PTEN","mutation"
"CD300LG_mut.hs","CD300LG","mutation"
"CRP_mut.hs","CRP","mutation"
"OBSCN_mut.hs","OBSCN","mutation"
"HIST1H1C_mut.hs","HIST1H1C","mutation"
"OR5L2_mut.hs","OR5L2","mutation"
"MYO1H_mut.hs","MYO1H","mutation"
"B2M_mut.hs","B2M","mutation"
"GNA13_mut.hs","GNA13","mutation"
"ADAM30_mut.hs","ADAM30","mutation"
"RASAL2_mut.hs","RASAL2","mutation"
"RALGPS2_mut.hs","RALGPS2","mutation"
"PTH2R_mut.hs","PTH2R","mutation"
"FBXW7_mut.hs","FBXW7","mutation"
"NFATC4_mut.hs","NFATC4","mutation"
"SMAD3_mut.hs","SMAD3","mutation"
"ZFHX3_mut.hs","ZFHX3","mutation"
"SLC6A5_mut.hs","SLC6A5","mutation"
"NUMA1_mut.hs","NUMA1","mutation"
"CNTN5_mut.hs","CNTN5","mutation"
"ZNF560_mut.hs","ZNF560","mutation"
"CSMD2_mut.hs","CSMD2","mutation"
"ADAMTS16_mut.hs","ADAMTS16","mutation"
"MAP2K7_mut.hs","MAP2K7","mutation"
"NLRP8_mut.hs","NLRP8","mutation"
"AMER1_mut.hs","AMER1","mutation"
"KIF6_mut.hs","KIF6","mutation"
"KATNAL1_mut.hs","KATNAL1","mutation"
"CD1E_mut.hs","CD1E","mutation"
"HMCN1_mut.hs","HMCN1","mutation"
"DTL_mut.hs","DTL","mutation"
"PTPN14_mut.hs","PTPN14","mutation"
"USH2A_mut.hs","USH2A","mutation"
"H3F3A_mut.hs","H3F3A","mutation"
"GALNT2_mut.hs","GALNT2","mutation"
"PGBD5_mut.hs","PGBD5","mutation"
"AHCTF1_mut.hs","AHCTF1","mutation"
"NLRP3_mut.hs","NLRP3","mutation"
"BIRC6_mut.hs","BIRC6","mutation"
"KAT2B_mut.hs","KAT2B","mutation"
"CTNNB1_mut.hs","CTNNB1","mutation"
"ERC2_mut.hs","ERC2","mutation"
"IRX1_mut.hs","IRX1","mutation"
"CDH9_mut.hs","CDH9","mutation"
"NIM1_mut.hs","NIM1","mutation"
"PCDHA1_mut.hs","PCDHA1","mutation"
"PCDHB6_mut.hs","PCDHB6","mutation"
"PCDHGB2_mut.hs","PCDHGB2","mutation"
"RNGTT_mut.hs","RNGTT","mutation"
"BCLAF1_mut.hs","BCLAF1","mutation"
"SDK1_mut.hs","SDK1","mutation"
"FOXK1_mut.hs","FOXK1","mutation"
"THSD7A_mut.hs","THSD7A","mutation"
"PIK3CG_mut.hs","PIK3CG","mutation"
"CHRM2_mut.hs","CHRM2","mutation"
"NCOA2_mut.hs","NCOA2","mutation"
"RIMS2_mut.hs","RIMS2","mutation"
"TCF7L2_mut.hs","TCF7L2","mutation"
"OR52K1_mut.hs","OR52K1","mutation"
"ACCSL_mut.hs","ACCSL","mutation"
"OR5AP2_mut.hs","OR5AP2","mutation"
"MMP7_mut.hs","MMP7","mutation"
"PITPNM2_mut.hs","PITPNM2","mutation"
"SGCG_mut.hs","SGCG","mutation"
"RSPRY1_mut.hs","RSPRY1","mutation"
"JUP_mut.hs","JUP","mutation"
"CPAMD8_mut.hs","CPAMD8","mutation"
"PRKCG_mut.hs","PRKCG","mutation"
"LENG8_mut.hs","LENG8","mutation"
"ZNF772_mut.hs","ZNF772","mutation"
"ZNF587B_mut.hs","ZNF587B","mutation"
"GJA9_mut.hs","GJA9","mutation"
"PAPPA2_mut.hs","PAPPA2","mutation"
"MRPS30_mut.hs","MRPS30","mutation"
"NSG2_mut.hs","NSG2","mutation"
"MPDZ_mut.hs","MPDZ","mutation"
"ASTN2_mut.hs","ASTN2","mutation"
"DRGX_mut.hs","DRGX","mutation"
"ZNF480_mut.hs","ZNF480","mutation"
"BRINP3_mut.hs","BRINP3","mutation"
"DYNC2LI1_mut.hs","DYNC2LI1","mutation"
"THSD7B_mut.hs","THSD7B","mutation"
"TTN_mut.hs","TTN","mutation"
"OR5H2_mut.hs","OR5H2","mutation"
"IMPG2_mut.hs","IMPG2","mutation"
"TMEM184C_mut.hs","TMEM184C","mutation"
"COL12A1_mut.hs","COL12A1","mutation"
"SEMA3E_mut.hs","SEMA3E","mutation"
"FSCN3_mut.hs","FSCN3","mutation"
"PLCE1_mut.hs","PLCE1","mutation"
"NARS2_mut.hs","NARS2","mutation"
"BCL9L_mut.hs","BCL9L","mutation"
"CACNA1C_mut.hs","CACNA1C","mutation"
"PFDN5_mut.hs","PFDN5","mutation"
"NPAP1_mut.hs","NPAP1","mutation"
"DCC_mut.hs","DCC","mutation"
"CD226_mut.hs","CD226","mutation"
"MUC16_mut.hs","MUC16","mutation"
"CEACAM7_mut.hs","CEACAM7","mutation"
"PTPRT_mut.hs","PTPRT","mutation"
"KCNE1_mut.hs","KCNE1","mutation"
"GABRR1_mut.hs","GABRR1","mutation"
"RB1_mut.hs","RB1","mutation"
"TGM4_mut.hs","TGM4","mutation"
"SGK223_mut.hs","SGK223","mutation"
"SYT16_mut.hs","SYT16","mutation"
"OR6K6_mut.hs","OR6K6","mutation"
"WDR34_mut.hs","WDR34","mutation"
"LAMC3_mut.hs","LAMC3","mutation"
"GTF2H1_mut.hs","GTF2H1","mutation"
"MYLK3_mut.hs","MYLK3","mutation"
"C5AR1_mut.hs","C5AR1","mutation"
"HPS1_mut.hs","HPS1","mutation"
"HYDIN_mut.hs","HYDIN","mutation"
"CD209_mut.hs","CD209","mutation"
"ZNF525_mut.hs","ZNF525","mutation"
"HRNR_mut.hs","HRNR","mutation"
"UGT2A3_mut.hs","UGT2A3","mutation"
"NOTCH1_mut.hs","NOTCH1","mutation"
"SSH1_mut.hs","SSH1","mutation"
"VWC2_mut.hs","VWC2","mutation"
"TRRAP_mut.hs","TRRAP","mutation"
"OR13C4_mut.hs","OR13C4","mutation"
"CPSF7_mut.hs","CPSF7","mutation"
"MYCBP2_mut.hs","MYCBP2","mutation"
"IKZF1_mut.hs","IKZF1","mutation"
"PRSS1_mut.hs","PRSS1","mutation"
"PAX5_mut.hs","PAX5","mutation"
"ZNF521_mut.hs","ZNF521","mutation"
"PSG5_mut.hs","PSG5","mutation"
"PPOX_mut.hs","PPOX","mutation"
"XDH_mut.hs","XDH","mutation"
"HK2_mut.hs","HK2","mutation"
"DCAF4L1_mut.hs","DCAF4L1","mutation"
"CPE_mut.hs","CPE","mutation"
"ABCF1_mut.hs","ABCF1","mutation"
"MCCD1_mut.hs","MCCD1","mutation"
"SLC22A16_mut.hs","SLC22A16","mutation"
"TNFAIP3_mut.hs","TNFAIP3","mutation"
"CAPZA2_mut.hs","CAPZA2","mutation"
"OPN1SW_mut.hs","OPN1SW","mutation"
"SCARA3_mut.hs","SCARA3","mutation"
"COX15_mut.hs","COX15","mutation"
"PSD_mut.hs","PSD","mutation"
"DNAJC22_mut.hs","DNAJC22","mutation"
"NR2C1_mut.hs","NR2C1","mutation"
"NTN4_mut.hs","NTN4","mutation"
"TRPV4_mut.hs","TRPV4","mutation"
