"feature_name","gene_symbol","feature_type"
"NUDT1_mut.tr","NUDT1","mutation"
"MOSPD3_mut.tr","MOSPD3","mutation"
"CLTA_mut.tr","CLTA","mutation"
"SURF6_mut.tr","SURF6","mutation"
"NDP_mut.tr","NDP","mutation"
"TIMM8A_mut.tr","TIMM8A","mutation"
"KDM5D_mut.tr","KDM5D","mutation"
"PARG_mut.tr","PARG","mutation"
"NXN_mut.tr","NXN","mutation"
"FAM104A_mut.tr","FAM104A","mutation"
"NBPF9_mut.tr","NBPF9","mutation"
"OR6M1_mut.tr","OR6M1","mutation"
"TAS2R46_mut.tr","TAS2R46","mutation"
"CLIC4_mut.tr","CLIC4","mutation"
"C1orf141_mut.tr","C1ORF141","mutation"
"EXTL2_mut.tr","EXTL2","mutation"
"C1orf194_mut.tr","C1ORF194","mutation"
"ANKRD45_mut.tr","ANKRD45","mutation"
"PPP2R5A_mut.tr","PPP2R5A","mutation"
"JMJD4_mut.tr","JMJD4","mutation"
"MAP10_mut.tr","MAP10","mutation"
"PTPLA_mut.tr","PTPLA","mutation"
"P4HA1_mut.tr","P4HA1","mutation"
"SHOC2_mut.tr","SHOC2","mutation"
"FAM45A_mut.tr","FAM45A","mutation"
"RP11-113D6.10_mut.tr","RP11-113D6.10","mutation"
"SMTNL1_mut.tr","SMTNL1","mutation"
"POLD3_mut.tr","POLD3","mutation"
"BLID_mut.tr","BLID","mutation"
"VSIG2_mut.tr","VSIG2","mutation"
"HOXC8_mut.tr","HOXC8","mutation"
"UNC119B_mut.tr","UNC119B","mutation"
"TMEM55B_mut.tr","TMEM55B","mutation"
"C14orf166_mut.tr","C14ORF166","mutation"
"CNIH1_mut.tr","CNIH1","mutation"
"TRMT5_mut.tr","TRMT5","mutation"
"GOLGA6C_mut.tr","GOLGA6C","mutation"
"KRTAP3-3_mut.tr","KRTAP3-3","mutation"
"ZNF763_mut.tr","ZNF763","mutation"
"ZNF625_mut.tr","ZNF625","mutation"
"TRAPPC2P1_mut.tr","TRAPPC2P1","mutation"
"C2orf44_mut.tr","C2ORF44","mutation"
"GMCL1_mut.tr","GMCL1","mutation"
"RND3_mut.tr","RND3","mutation"
"SLC38A11_mut.tr","SLC38A11","mutation"
"CSTL1_mut.tr","CSTL1","mutation"
"UBE2G2_mut.tr","UBE2G2","mutation"
"PVALB_mut.tr","PVALB","mutation"
"APOBEC3H_mut.tr","APOBEC3H","mutation"
"BTD_mut.tr","BTD","mutation"
"GADL1_mut.tr","GADL1","mutation"
"GPD1L_mut.tr","GPD1L","mutation"
"PFKFB4_mut.tr","PFKFB4","mutation"
"CDV3_mut.tr","CDV3","mutation"
"ARL14_mut.tr","ARL14","mutation"
"SKIL_mut.tr","SKIL","mutation"
"CHIC2_mut.tr","CHIC2","mutation"
"PAICS_mut.tr","PAICS","mutation"
"CXCL9_mut.tr","CXCL9","mutation"
"FABP2_mut.tr","FABP2","mutation"
"CPE_mut.tr","CPE","mutation"
"SAP30_mut.tr","SAP30","mutation"
"CAPSL_mut.tr","CAPSL","mutation"
"HBEGF_mut.tr","HBEGF","mutation"
"MED7_mut.tr","MED7","mutation"
"KIAA1586_mut.tr","KIAA1586","mutation"
"TBPL1_mut.tr","TBPL1","mutation"
"PEX3_mut.tr","PEX3","mutation"
"TP53INP1_mut.tr","TP53INP1","mutation"
"IL33_mut.tr","IL33","mutation"
"TPD52L3_mut.tr","TPD52L3","mutation"
"KLHL9_mut.tr","KLHL9","mutation"
"IFNA8_mut.tr","IFNA8","mutation"
"GNAQ_mut.tr","GNAQ","mutation"
"OR1L3_mut.tr","OR1L3","mutation"
"PHYHD1_mut.tr","PHYHD1","mutation"
"ARMCX3_mut.tr","ARMCX3","mutation"
"RRAGD_mut.tr","RRAGD","mutation"
"FZD8_mut.tr","FZD8","mutation"
"RRAD_mut.tr","RRAD","mutation"
"CENPV_mut.tr","CENPV","mutation"
"ALKBH6_mut.tr","ALKBH6","mutation"
"NFE2L2_mut.tr","NFE2L2","mutation"
"DEF6_mut.tr","DEF6","mutation"
"GATS_mut.tr","GATS","mutation"
"FRRS1L_mut.tr","FRRS1L","mutation"
"FOXI2_mut.tr","FOXI2","mutation"
"CKMT1A_mut.tr","CKMT1A","mutation"
"EMP2_mut.tr","EMP2","mutation"
"ZNF697_mut.tr","ZNF697","mutation"
"NRBF2_mut.tr","NRBF2","mutation"
"OR5B2_mut.tr","OR5B2","mutation"
"RAP1B_mut.tr","RAP1B","mutation"
"CDK2AP1_mut.tr","CDK2AP1","mutation"
"RNF113B_mut.tr","RNF113B","mutation"
"GSTZ1_mut.tr","GSTZ1","mutation"
"MLYCD_mut.tr","MLYCD","mutation"
"SLC6A16_mut.tr","SLC6A16","mutation"
"BID_mut.tr","BID","mutation"
"IQCF1_mut.tr","IQCF1","mutation"
"PRR23C_mut.tr","PRR23C","mutation"
"GINM1_mut.tr","GINM1","mutation"
"VPS37A_mut.tr","VPS37A","mutation"
"STOML2_mut.tr","STOML2","mutation"
"YWHAQ_mut.tr","YWHAQ","mutation"
"ZNF184_mut.tr","ZNF184","mutation"
"SERF2_mut.tr","SERF2","mutation"
"OR5H2_mut.tr","OR5H2","mutation"
"RFC2_mut.tr","RFC2","mutation"
"PYGO1_mut.tr","PYGO1","mutation"
"CD247_mut.tr","CD247","mutation"
"SCGB1A1_mut.tr","SCGB1A1","mutation"
"RPS14_mut.tr","RPS14","mutation"
"GTF3C6_mut.tr","GTF3C6","mutation"
"ASPHD2_mut.tr","ASPHD2","mutation"
"PSMG4_mut.tr","PSMG4","mutation"
"KIFC3_mut.tr","KIFC3","mutation"
"CSNK1D_mut.tr","CSNK1D","mutation"
"LRG1_mut.tr","LRG1","mutation"
"PSORS1C2_mut.tr","PSORS1C2","mutation"
"OR5T1_mut.tr","OR5T1","mutation"
"CORT_mut.tr","CORT","mutation"
"ANKRD2_mut.tr","ANKRD2","mutation"
"NDUFS3_mut.tr","NDUFS3","mutation"
"OR5A1_mut.tr","OR5A1","mutation"
"FOLR3_mut.tr","FOLR3","mutation"
"BCL2L10_mut.tr","BCL2L10","mutation"
"C2CD4A_mut.tr","C2CD4A","mutation"
"FAM134C_mut.tr","FAM134C","mutation"
"OSBPL7_mut.tr","OSBPL7","mutation"
"MARCH2_mut.tr","MARCH2","mutation"
"KRTAP6-3_mut.tr","KRTAP6-3","mutation"
"ETS2_mut.tr","ETS2","mutation"
"LRTM1_mut.tr","LRTM1","mutation"
"ARL10_mut.tr","ARL10","mutation"
"OR2A12_mut.tr","OR2A12","mutation"
"XKR6_mut.tr","XKR6","mutation"
"LINGO2_mut.tr","LINGO2","mutation"
"PAX5_mut.tr","PAX5","mutation"
"RBM18_mut.tr","RBM18","mutation"
"LZIC_mut.tr","LZIC","mutation"
"RPE_mut.tr","RPE","mutation"
"MMP11_mut.tr","MMP11","mutation"
"MRFAP1L1_mut.tr","MRFAP1L1","mutation"
"POU3F2_mut.tr","POU3F2","mutation"
"NKAP_mut.tr","NKAP","mutation"
"CMC4_mut.tr","CMC4","mutation"
"VAX1_mut.tr","VAX1","mutation"
"KRTAP9-4_mut.tr","KRTAP9-4","mutation"
"B4GALT1_mut.tr","B4GALT1","mutation"
"TMEM53_mut.tr","TMEM53","mutation"
"H2BFWT_mut.tr","H2BFWT","mutation"
"MMADHC_mut.tr","MMADHC","mutation"
"SCP2D1_mut.tr","SCP2D1","mutation"
"ZNF587_mut.tr","ZNF587","mutation"
"PRR21_mut.tr","PRR21","mutation"
"JDP2_mut.tr","JDP2","mutation"
"RNFT1_mut.tr","RNFT1","mutation"
"SCNN1D_mut.tr","SCNN1D","mutation"
"HELLS_mut.tr","HELLS","mutation"
"C3orf72_mut.tr","C3ORF72","mutation"
"TMEM192_mut.tr","TMEM192","mutation"
"RNF138_mut.tr","RNF138","mutation"
"CRELD2_mut.tr","CRELD2","mutation"
"LPPR3_mut.tr","LPPR3","mutation"
"PSMC6_mut.tr","PSMC6","mutation"
"CIB3_mut.tr","CIB3","mutation"
"TMEM182_mut.tr","TMEM182","mutation"
"CARD16_mut.tr","CARD16","mutation"
"SPATS2_mut.tr","SPATS2","mutation"
"GALE_mut.tr","GALE","mutation"
"SVIP_mut.tr","SVIP","mutation"
"KCTD4_mut.tr","KCTD4","mutation"
"GLOD4_mut.tr","GLOD4","mutation"
"NEK8_mut.tr","NEK8","mutation"
"LYPD3_mut.tr","LYPD3","mutation"
"EEF1B2_mut.tr","EEF1B2","mutation"
"MRPS25_mut.tr","MRPS25","mutation"
"BMP8A_mut.tr","BMP8A","mutation"
"BCL10_mut.tr","BCL10","mutation"
"ASGR1_mut.tr","ASGR1","mutation"
"KPNA2_mut.tr","KPNA2","mutation"
"RGS1_mut.tr","RGS1","mutation"
"COTL1_mut.tr","COTL1","mutation"
"PTRF_mut.tr","PTRF","mutation"
"ZNF24_mut.tr","ZNF24","mutation"
"KCNS3_mut.tr","KCNS3","mutation"
"OXER1_mut.tr","OXER1","mutation"
"CLDN25_mut.tr","CLDN25","mutation"
"OR6S1_mut.tr","OR6S1","mutation"
"TMIGD1_mut.tr","TMIGD1","mutation"
"CYTL1_mut.tr","CYTL1","mutation"
"LY86_mut.tr","LY86","mutation"
"SPRTN_mut.tr","SPRTN","mutation"
"GALNT10_mut.tr","GALNT10","mutation"
"HIST1H1E_mut.tr","HIST1H1E","mutation"
"TEX13B_mut.tr","TEX13B","mutation"
"PHB2_mut.tr","PHB2","mutation"
"SEPW1_mut.tr","SEPW1","mutation"
"PROP1_mut.tr","PROP1","mutation"
"OR8A1_mut.tr","OR8A1","mutation"
"TEX13A_mut.tr","TEX13A","mutation"
"MVB12A_mut.tr","MVB12A","mutation"
"ATP5SL_mut.tr","ATP5SL","mutation"
"WDR93_mut.tr","WDR93","mutation"
"CEACAM3_mut.tr","CEACAM3","mutation"
"COMMD9_mut.tr","COMMD9","mutation"
"TBC1D15_mut.tr","TBC1D15","mutation"
"PCDHA10_mut.tr","PCDHA10","mutation"
"PCDHB1_mut.tr","PCDHB1","mutation"
"TAF7_mut.tr","TAF7","mutation"
"ORM1_mut.tr","ORM1","mutation"
"CEL_mut.tr","CEL","mutation"
"AC024592.12_mut.tr","AC024592.12","mutation"
"RPSA_mut.tr","RPSA","mutation"
"MFSD4_mut.tr","MFSD4","mutation"
"LILRA4_mut.tr","LILRA4","mutation"
"RPS13_mut.tr","RPS13","mutation"
"L34079.2_mut.tr","L34079.2","mutation"
"TAS2R41_mut.tr","TAS2R41","mutation"
"AQP7_mut.tr","AQP7","mutation"
"FKBP7_mut.tr","FKBP7","mutation"
"HRASLS_mut.tr","HRASLS","mutation"
"CAMK1_mut.tr","CAMK1","mutation"
"KRTAP5-9_mut.tr","KRTAP5-9","mutation"
"ABHD17B_mut.tr","ABHD17B","mutation"
"RPS25_mut.tr","RPS25","mutation"
"HCLS1_mut.tr","HCLS1","mutation"
"HOXD9_mut.tr","HOXD9","mutation"
"CEMP1_mut.tr","CEMP1","mutation"
"SIX5_mut.tr","SIX5","mutation"
"MT-ATP6_mut.tr","MT-ATP6","mutation"
"MT-CO2_mut.tr","MT-CO2","mutation"
"TMEM82_mut.tr","TMEM82","mutation"
"CNOT7_mut.tr","CNOT7","mutation"
"JPH4_mut.tr","JPH4","mutation"
"TSC22D3_mut.tr","TSC22D3","mutation"
"EPGN_mut.tr","EPGN","mutation"
"RAC3_mut.tr","RAC3","mutation"
"C19orf71_mut.tr","C19ORF71","mutation"
"GPR173_mut.tr","GPR173","mutation"
"GSTCD_mut.tr","GSTCD","mutation"
"ST6GALNAC6_mut.tr","ST6GALNAC6","mutation"
"POM121L12_mut.tr","POM121L12","mutation"
"SUMO2_mut.tr","SUMO2","mutation"
"FAM159A_mut.tr","FAM159A","mutation"
"SNX8_mut.tr","SNX8","mutation"
"ATPIF1_mut.tr","ATPIF1","mutation"
"RNF112_mut.tr","RNF112","mutation"
"OR5B17_mut.tr","OR5B17","mutation"
"ELL3_mut.tr","ELL3","mutation"
"POLR3E_mut.tr","POLR3E","mutation"
"ASMT_mut.tr","ASMT","mutation"
"REXO1L1_mut.tr","REXO1L1","mutation"
"PI16_mut.tr","PI16","mutation"
"KRTAP4-8_mut.tr","KRTAP4-8","mutation"
"MT2A_mut.tr","MT2A","mutation"
"NPIPB3_mut.tr","NPIPB3","mutation"
"CLTB_mut.tr","CLTB","mutation"
"PRAMEF22_mut.tr","PRAMEF22","mutation"
"WNT5B_mut.tr","WNT5B","mutation"
"CSNK1G1_mut.tr","CSNK1G1","mutation"
"TMEM163_mut.tr","TMEM163","mutation"
"NGB_mut.tr","NGB","mutation"
"MT-CO1_mut.tr","MT-CO1","mutation"
"ATP6V0D1_mut.tr","ATP6V0D1","mutation"
"INHBC_mut.tr","INHBC","mutation"
"CABLES1_mut.tr","CABLES1","mutation"
"TMEM81_mut.tr","TMEM81","mutation"
"PTCD2_mut.tr","PTCD2","mutation"
"MILR1_mut.tr","MILR1","mutation"
"CCR4_mut.tr","CCR4","mutation"
"TMEM59L_mut.tr","TMEM59L","mutation"
"STAR_mut.tr","STAR","mutation"
"HNRNPLL_mut.tr","HNRNPLL","mutation"
"DDIT4_mut.tr","DDIT4","mutation"
"THAP7_mut.tr","THAP7","mutation"
"GMPR2_mut.tr","GMPR2","mutation"
"NPIPB11_mut.tr","NPIPB11","mutation"
"NACA2_mut.tr","NACA2","mutation"
"TRABD_mut.tr","TRABD","mutation"
"ZNF696_mut.tr","ZNF696","mutation"
"R3HCC1_mut.tr","R3HCC1","mutation"
"DMBX1_mut.tr","DMBX1","mutation"
"CHGA_mut.tr","CHGA","mutation"
"C7orf71_mut.tr","C7ORF71","mutation"
"TGIF1_mut.tr","TGIF1","mutation"
"NFIC_mut.tr","NFIC","mutation"
"TCTEX1D4_mut.tr","TCTEX1D4","mutation"
"RECQL4_mut.tr","RECQL4","mutation"
"C6orf106_mut.tr","C6ORF106","mutation"
"MDFI_mut.tr","MDFI","mutation"
"LACC1_mut.tr","LACC1","mutation"
"TMEM220_mut.tr","TMEM220","mutation"
"PIN1_mut.tr","PIN1","mutation"
"SUV39H1_mut.tr","SUV39H1","mutation"
"TRIM43_mut.tr","TRIM43","mutation"
"AL133481.1_mut.tr","AL133481.1","mutation"
"CHMP1B_mut.tr","CHMP1B","mutation"
"AVPR1B_mut.tr","AVPR1B","mutation"
"H2AFY2_mut.tr","H2AFY2","mutation"
"PTRH2_mut.tr","PTRH2","mutation"
"ODF3L1_mut.tr","ODF3L1","mutation"
"CHRNE_mut.tr","CHRNE","mutation"
"FCGR1A_mut.tr","FCGR1A","mutation"
"CDK20_mut.tr","CDK20","mutation"
"CUTA_mut.tr","CUTA","mutation"
"TVP23C_mut.tr","TVP23C","mutation"
"YAF2_mut.tr","YAF2","mutation"
"FOXG1_mut.tr","FOXG1","mutation"
"WDR4_mut.tr","WDR4","mutation"
"PPIE_mut.tr","PPIE","mutation"
"C6orf48_mut.tr","C6ORF48","mutation"
"MARS2_mut.tr","MARS2","mutation"
"STX6_mut.tr","STX6","mutation"
"GPR150_mut.tr","GPR150","mutation"
"GXYLT2_mut.tr","GXYLT2","mutation"
"JUND_mut.tr","JUND","mutation"
"KRTAP5-11_mut.tr","KRTAP5-11","mutation"
"TANGO2_mut.tr","TANGO2","mutation"
"ASPRV1_mut.tr","ASPRV1","mutation"
"DSCC1_mut.tr","DSCC1","mutation"
"TBX2_mut.tr","TBX2","mutation"
"CDH15_mut.tr","CDH15","mutation"
"TMEM158_mut.tr","TMEM158","mutation"
"FBXL15_mut.tr","FBXL15","mutation"
"YPEL3_mut.tr","YPEL3","mutation"
"LGALS9C_mut.tr","LGALS9C","mutation"
"SLC39A3_mut.tr","SLC39A3","mutation"
"IFRD1_mut.tr","IFRD1","mutation"
"C1orf53_mut.tr","C1ORF53","mutation"
"DUS4L_mut.tr","DUS4L","mutation"
"PAGE4_mut.tr","PAGE4","mutation"
"GLTPD1_mut.tr","GLTPD1","mutation"
"SPATA31A3_mut.tr","SPATA31A3","mutation"
"NUPL2_mut.tr","NUPL2","mutation"
"TOMM40L_mut.tr","TOMM40L","mutation"
"ISOC2_mut.tr","ISOC2","mutation"
"S100A11_mut.tr","S100A11","mutation"
"DHRSX_mut.tr","DHRSX","mutation"
"KCNG3_mut.tr","KCNG3","mutation"
"RP11-812E19.9_mut.tr","RP11-812E19.9","mutation"
"CAPN9_mut.tr","CAPN9","mutation"
"MT-ND4L_mut.tr","MT-ND4L","mutation"
"TMEM185B_mut.tr","TMEM185B","mutation"
"P4HB_mut.tr","P4HB","mutation"
"SFRP2_mut.tr","SFRP2","mutation"
"STX4_mut.tr","STX4","mutation"
"MFSD9_mut.tr","MFSD9","mutation"
"ZNHIT2_mut.tr","ZNHIT2","mutation"
"ARSA_mut.tr","ARSA","mutation"
"TRAPPC5_mut.tr","TRAPPC5","mutation"
"TSPAN32_mut.tr","TSPAN32","mutation"
"SCPEP1_mut.tr","SCPEP1","mutation"
"LIF_mut.tr","LIF","mutation"
"CDK5R1_mut.tr","CDK5R1","mutation"
"DCP2_mut.tr","DCP2","mutation"
"AC019294.1_mut.tr","AC019294.1","mutation"
"TIMM9_mut.tr","TIMM9","mutation"
"UPK2_mut.tr","UPK2","mutation"
"ARSD_mut.tr","ARSD","mutation"
"FOXB1_mut.tr","FOXB1","mutation"
"IL34_mut.tr","IL34","mutation"
"DLX2_mut.tr","DLX2","mutation"
"C1orf35_mut.tr","C1ORF35","mutation"
"AHSA2_mut.tr","AHSA2","mutation"
"PRR26_mut.tr","PRR26","mutation"
"CNIH2_mut.tr","CNIH2","mutation"
"RBM14_mut.tr","RBM14","mutation"
"C17orf51_mut.tr","C17ORF51","mutation"
"DHCR24_mut.tr","DHCR24","mutation"
"S100A13_mut.tr","S100A13","mutation"
"KRTAP12-1_mut.tr","KRTAP12-1","mutation"
"CD2BP2_mut.tr","CD2BP2","mutation"
"C20orf96_mut.tr","C20ORF96","mutation"
"SLC25A48_mut.tr","SLC25A48","mutation"
"SLC32A1_mut.tr","SLC32A1","mutation"
"ALG1L_mut.tr","ALG1L","mutation"
"ZNHIT1_mut.tr","ZNHIT1","mutation"
"PHOSPHO1_mut.tr","PHOSPHO1","mutation"
"TOMM6_mut.tr","TOMM6","mutation"
"OR5M11_mut.tr","OR5M11","mutation"
"ABHD16B_mut.tr","ABHD16B","mutation"
"NUDT13_mut.tr","NUDT13","mutation"
"AC140481.2_mut.tr","AC140481.2","mutation"
"PROC_mut.tr","PROC","mutation"
"TTC23L_mut.tr","TTC23L","mutation"
"NBPF20_mut.tr","NBPF20","mutation"
"SPATA31A7_mut.tr","SPATA31A7","mutation"
"KCNK12_mut.tr","KCNK12","mutation"
"LGALS13_mut.tr","LGALS13","mutation"
"ZIC3_mut.tr","ZIC3","mutation"
"OR5M10_mut.tr","OR5M10","mutation"
"FAM102A_mut.tr","FAM102A","mutation"
"LGALS16_mut.tr","LGALS16","mutation"
"EXOC3_mut.tr","EXOC3","mutation"
"PPP1R9B_mut.tr","PPP1R9B","mutation"
"NUP54_mut.tr","NUP54","mutation"
"FOXD3_mut.tr","FOXD3","mutation"
"IGFBP7_mut.tr","IGFBP7","mutation"
"GNG7_mut.tr","GNG7","mutation"
"LRRC38_mut.tr","LRRC38","mutation"
"GOLGA8K_mut.tr","GOLGA8K","mutation"
"OTOP1_mut.tr","OTOP1","mutation"
"ARFRP1_mut.tr","ARFRP1","mutation"
"FOXA3_mut.tr","FOXA3","mutation"
"LMAN1L_mut.tr","LMAN1L","mutation"
"SPRY3_mut.tr","SPRY3","mutation"
"PDZD4_mut.tr","PDZD4","mutation"
"COX8A_mut.tr","COX8A","mutation"
"FAM203B_mut.tr","FAM203B","mutation"
"LRFN4_mut.tr","LRFN4","mutation"
"KRTAP5-7_mut.tr","KRTAP5-7","mutation"
"MAGIX_mut.tr","MAGIX","mutation"
"UBE2B_mut.tr","UBE2B","mutation"
"PMM2_mut.tr","PMM2","mutation"
"AL627309.1_mut.tr","AL627309.1","mutation"
"C1orf228_mut.tr","C1ORF228","mutation"
"SP6_mut.tr","SP6","mutation"
"DECR2_mut.tr","DECR2","mutation"
"ZC3H12D_mut.tr","ZC3H12D","mutation"
"RBAK-RBAKDN_mut.tr","RBAK-RBAKDN","mutation"
"EZR_mut.tr","EZR","mutation"
"CYP2D6_mut.tr","CYP2D6","mutation"
"ZNF552_mut.tr","ZNF552","mutation"
"FXYD6_mut.tr","FXYD6","mutation"
"ZNF17_mut.tr","ZNF17","mutation"
"SLC7A11_mut.tr","SLC7A11","mutation"
"HLA-DQA2_mut.tr","HLA-DQA2","mutation"
"GMFB_mut.tr","GMFB","mutation"
"CYB561_mut.tr","CYB561","mutation"
"RAB3D_mut.tr","RAB3D","mutation"
"OTUD5_mut.tr","OTUD5","mutation"
"TP53TG3D_mut.tr","TP53TG3D","mutation"
"ZNF414_mut.tr","ZNF414","mutation"
"MRPL34_mut.tr","MRPL34","mutation"
"C1orf229_mut.tr","C1ORF229","mutation"
"ATOH8_mut.tr","ATOH8","mutation"
"ZNF517_mut.tr","ZNF517","mutation"
"PTAFR_mut.tr","PTAFR","mutation"
"LSM4_mut.tr","LSM4","mutation"
"MPPED1_mut.tr","MPPED1","mutation"
"NPIPA5_mut.tr","NPIPA5","mutation"
"NEUROD4_mut.tr","NEUROD4","mutation"
"FBXO21_mut.tr","FBXO21","mutation"
"FAF1_mut.tr","FAF1","mutation"
"PCDHB17_mut.tr","PCDHB17","mutation"
"NDUFS6_mut.tr","NDUFS6","mutation"
"SLC16A10_mut.tr","SLC16A10","mutation"
"EIF1AX_mut.tr","EIF1AX","mutation"
"GTF2IRD2_mut.tr","GTF2IRD2","mutation"
"GFRA4_mut.tr","GFRA4","mutation"
"AXIN2_mut.tr","AXIN2","mutation"
"SLC25A25_mut.tr","SLC25A25","mutation"
"AGAP9_mut.tr","AGAP9","mutation"
"PFN1_mut.tr","PFN1","mutation"
"YKT6_mut.tr","YKT6","mutation"
"TBRG4_mut.tr","TBRG4","mutation"
"RNF166_mut.tr","RNF166","mutation"
"STAP2_mut.tr","STAP2","mutation"
"ADRB2_mut.tr","ADRB2","mutation"
"CCDC85B_mut.tr","CCDC85B","mutation"
"OLIG2_mut.tr","OLIG2","mutation"
"MAGEA2_mut.tr","MAGEA2","mutation"
"RHOXF2_mut.tr","RHOXF2","mutation"
"TBC1D14_mut.tr","TBC1D14","mutation"
"MT-ND2_mut.tr","MT-ND2","mutation"
"ANXA8L1_mut.tr","ANXA8L1","mutation"
"ANXA8_mut.tr","ANXA8","mutation"
"PABPC4L_mut.tr","PABPC4L","mutation"
"LEPREL4_mut.tr","LEPREL4","mutation"
"POLR3H_mut.tr","POLR3H","mutation"
"ASF1B_mut.tr","ASF1B","mutation"
"RNASE4_mut.tr","RNASE4","mutation"
"PDF_mut.tr","PDF","mutation"
"IL17D_mut.tr","IL17D","mutation"
"CHTF8_mut.tr","CHTF8","mutation"
"C17orf103_mut.tr","C17ORF103","mutation"
"MSI2_mut.tr","MSI2","mutation"
"ABHD17A_mut.tr","ABHD17A","mutation"
"C19orf60_mut.tr","C19ORF60","mutation"
"TFPT_mut.tr","TFPT","mutation"
"TEF_mut.tr","TEF","mutation"
"DCAF12L2_mut.tr","DCAF12L2","mutation"
"CAMK2N1_mut.tr","CAMK2N1","mutation"
"TRNAU1AP_mut.tr","TRNAU1AP","mutation"
"EVA1B_mut.tr","EVA1B","mutation"
"ATP6V0B_mut.tr","ATP6V0B","mutation"
"SARS_mut.tr","SARS","mutation"
"SHISA4_mut.tr","SHISA4","mutation"
"EPT1_mut.tr","EPT1","mutation"
"AAK1_mut.tr","AAK1","mutation"
"SNRNP27_mut.tr","SNRNP27","mutation"
"RPIA_mut.tr","RPIA","mutation"
"ACTR3_mut.tr","ACTR3","mutation"
"CCNT2_mut.tr","CCNT2","mutation"
"SLC39A10_mut.tr","SLC39A10","mutation"
"PTPLB_mut.tr","PTPLB","mutation"
"PGRMC2_mut.tr","PGRMC2","mutation"
"TMEM161B_mut.tr","TMEM161B","mutation"
"CDK6_mut.tr","CDK6","mutation"
"LSM1_mut.tr","LSM1","mutation"
"KLF4_mut.tr","KLF4","mutation"
"RAB18_mut.tr","RAB18","mutation"
"MRPS16_mut.tr","MRPS16","mutation"
"ACTA2_mut.tr","ACTA2","mutation"
"SLC25A28_mut.tr","SLC25A28","mutation"
"CELF1_mut.tr","CELF1","mutation"
"EFEMP2_mut.tr","EFEMP2","mutation"
"LAMTOR1_mut.tr","LAMTOR1","mutation"
"RAB30_mut.tr","RAB30","mutation"
"FAM60A_mut.tr","FAM60A","mutation"
"PRR13_mut.tr","PRR13","mutation"
"LHFP_mut.tr","LHFP","mutation"
"TM9SF1_mut.tr","TM9SF1","mutation"
"CALM1_mut.tr","CALM1","mutation"
"UBR7_mut.tr","UBR7","mutation"
"RAB8B_mut.tr","RAB8B","mutation"
"SLC7A6_mut.tr","SLC7A6","mutation"
"VAMP2_mut.tr","VAMP2","mutation"
"POLDIP2_mut.tr","POLDIP2","mutation"
"RP11-1055B8.6_mut.tr","RP11-1055B8.6","mutation"
"RIOK3_mut.tr","RIOK3","mutation"
"VPS4B_mut.tr","VPS4B","mutation"
"KDELR1_mut.tr","KDELR1","mutation"
"HSPBP1_mut.tr","HSPBP1","mutation"
"FKBP1A_mut.tr","FKBP1A","mutation"
"POLR3F_mut.tr","POLR3F","mutation"
"SNTA1_mut.tr","SNTA1","mutation"
"XBP1_mut.tr","XBP1","mutation"
"ATP6AP2_mut.tr","ATP6AP2","mutation"
"CDK16_mut.tr","CDK16","mutation"
"PGRMC1_mut.tr","PGRMC1","mutation"
"SEPT6_mut.tr","SEPT6","mutation"
"RBMX_mut.tr","RBMX","mutation"
"HDDC3_mut.tr","HDDC3","mutation"
"FDX1_mut.tr","FDX1","mutation"
"WRAP53_mut.tr","WRAP53","mutation"
"FADD_mut.tr","FADD","mutation"
"OGFOD2_mut.tr","OGFOD2","mutation"
"HIST2H2AA3_mut.tr","HIST2H2AA3","mutation"
"LMO3_mut.tr","LMO3","mutation"
"IGIP_mut.tr","IGIP","mutation"
"NUTM2D_mut.tr","NUTM2D","mutation"
"MAPKAP1_mut.tr","MAPKAP1","mutation"
"ZNF720_mut.tr","ZNF720","mutation"
"LIMS3_mut.tr","LIMS3","mutation"
"PTP4A1_mut.tr","PTP4A1","mutation"
"RHOF_mut.tr","RHOF","mutation"
"FAM133B_mut.tr","FAM133B","mutation"
"RASA4B_mut.tr","RASA4B","mutation"
"C4A_mut.tr","C4A","mutation"
"MXRA8_mut.tr","MXRA8","mutation"
"BGLAP_mut.tr","BGLAP","mutation"
"RNF187_mut.tr","RNF187","mutation"
"TXNRD3NB_mut.tr","TXNRD3NB","mutation"
"WASL_mut.tr","WASL","mutation"
"GGH_mut.tr","GGH","mutation"
"ZNF771_mut.tr","ZNF771","mutation"
"PLGLB1_mut.tr","PLGLB1","mutation"
"NR1D1_mut.tr","NR1D1","mutation"
"LRFN3_mut.tr","LRFN3","mutation"
"CHST2_mut.tr","CHST2","mutation"
"ACKR2_mut.tr","ACKR2","mutation"
"PANK4_mut.tr","PANK4","mutation"
"GRPEL2_mut.tr","GRPEL2","mutation"
"STYX_mut.tr","STYX","mutation"
"RPS4X_mut.tr","RPS4X","mutation"
"MT-ND3_mut.tr","MT-ND3","mutation"
"ZNF280B_mut.tr","ZNF280B","mutation"
"TMEM92_mut.tr","TMEM92","mutation"
"MANBAL_mut.tr","MANBAL","mutation"
"PACSIN1_mut.tr","PACSIN1","mutation"
"YPEL4_mut.tr","YPEL4","mutation"
"TEX264_mut.tr","TEX264","mutation"
"PRR5L_mut.tr","PRR5L","mutation"
"H1FX_mut.tr","H1FX","mutation"
"PAIP2_mut.tr","PAIP2","mutation"
