"drug","method","selection","n_resistance_genes","n_sensitivity_genes","n_og_in_resistance","n_tsg_in_sensitivity","n_og_in_sensitivity","n_tsg_in_resistance","odds_ratio_og_resistance","odds_ratio_ha_og_resistance","p_og_resistance","odds_ratio_tsg_sensitivity","odds_ratio_ha_tsg_sensitivity","p_tsg_sensitivity","resistance_genes_found","sensitivity_genes_found","p_og_resistance_bh","p_tsg_sensitivity_bh"
"PI-103","EN","freq50",34,54,6,7,4,3,30.9816696097497,32.9318816303741,1.27635246307311e-07,21.3168970703346,22.5600942655145,1.12143819809735e-07,"CBLB;CTNNB1;ERBB3;KDR;MAPK1;POLG;SRC;SUZ12","CHEK2;CREBBP;KMT2D;MYC;RB1;STK11;TCF3;TET2",6.76466805428747e-06,5.94362244991597e-06
"PIK-93","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
"PIK-93","EN","freq50",47,44,3,6,4,0,9.75688231944541,11.2396258408333,0.0043847438881882,22.5161010457568,24.0479768165719,6.81606276079594e-07,"CTNNB1;KDR;SRC","ATM;CCND3;EZH2;KMT2D;NOTCH1;SLC34A2;TET2",0.0223453294301898,2.58036661658703e-05
"SB52334","DSEN","freq50",2,1,0,1,0,0,0,28.3267651888342,1,Inf,420.736585365854,0.0070913821287959,"","ATM",1,0.0854189210968597
"SB52334","EN","freq50",7,2,0,0,0,0,0,9.44116037219485,1,0,27.9568881685575,1,"","",1,1
"TPCA-1","DSEN","freq50",8,1,1,0,0,1,20.3254716325375,28.4168039538715,0.0546459011254056,0,46.5958941112912,1,"AKT1;NDRG1","",0.219411572700492,1
"TPCA-1","EN","freq50",4,5,1,2,1,0,47.3835378916262,60.8987997175806,0.027705520957085,94.0259992691488,100.495222558844,0.000494229607335599,"AKT1","KMT2D;PTEN",0.0884573861882835,0.00319441087668131
"Fedratinib","DSEN","freq50",6,0,0,0,0,1,0,10.893899204244,1,NA,139.790923824959,1,"NDRG1","",1,1
"Fedratinib","EN","freq50",69,47,8,5,2,1,19.0726108937099,20.0760772700476,3.03341784332341e-08,16.9216866513031,18.3707142164938,2.08621162610825e-05,"AKT1;BCL11A;BRAF;CTNNB1;ERBB2;ERBB3;IRS4;MAPK1","BCL2;CHEK2;KMT2D;PIK3R1;PTEN;TET2",3.90688169292415e-06,0.000325203577010991
"WIKI4","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
"WIKI4","EN","freq50",60,18,7,2,1,4,19.1459417255065,20.2983585957748,2.15927748018754e-07,17.6008762605,21.3107420040536,0.00711502895078433,"CBLB;CDH1;ERBB2;ERBB3;ESR1;GATA3;KMT2A;PIK3CA;SRC","BAX;KMT2D",9.5368088708283e-06,0.030909551999309
"Y-39983","DSEN","freq50",8,1,1,0,0,1,20.3254716325375,28.4168039538715,0.0546459011254056,0,46.5958941112912,1,"ELF4","",0.219411572700492,1
"Y-39983","EN","freq50",40,30,4,4,3,1,15.9559414684465,17.6801905499966,0.000176301723487955,21.7918195825779,24.035412213031,5.87602600445268e-05,"CTNNB1;ELF4;ERBB3;SRC","BAX;CHEK2;MAP2K2;MYC;NOTCH1;PTEN",0.00150709537820349,0.000556123889707128
"YM201636","DSEN","freq50",2,1,0,0,0,0,0,28.3267651888342,1,0,46.5958941112912,1,"","",1,1
"YM201636","EN","freq50",28,16,4,2,1,0,23.926583198323,26.3472104315936,4.21965383542465e-05,20.1203062439761,24.2512797434888,0.00563276554675145,"CTNNB1;EGFR;KDR;SRC","CCND3;CHEK2;TET2",0.000559104133193766,0.0266550512480203
"Tivozanib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Tivozanib","EN","freq50",3,1,0,0,0,0,0,20.2329345531316,1,0,46.5958941112912,1,"","",1,1
"GSK690693","DSEN","freq50",2,0,0,0,0,0,0,28.3267651888342,1,NA,139.790923824959,1,"","",1,1
"GSK690693","EN","freq50",32,26,1,2,4,0,4.58776771142224,6.76214011139876,0.201360169952979,11.7349493559041,14.3494689882478,0.0145611482728988,"KDR","BCL2;EZH2;PTEN;SYK;XPO1",0.452207161335081,0.055124347033117
"QL-XI-92","DSEN","freq50",29,20,3,1,0,1,16.5178590959665,18.8819737789042,0.00108407865098662,7.38959197201938,10.7833646028768,0.132694640919191,"CCND1;ERBB3;ETNK1;SRC","RB1",0.0287280842511455,0.651186663770105
"QL-XI-92","EN","freq50",1,5,1,0,0,1,Inf,426.321252059308,0.00699928625699342,0,12.70679239723,1,"TP53","",0.0299163041629557,1
"XMD13-2","DSEN","freq50",9,0,1,0,0,0,17.7826946781057,25.0730690958426,0.0612639240628351,NA,139.790923824959,1,"NFATC2","",0.23192771252359,1
"XMD13-2","EN","freq50",50,29,3,6,3,0,9.13465000271345,10.5290215588723,0.00521912009933691,37.2075650018724,39.4114647441533,5.01557328771736e-08,"BRAF;KDR;NFATC2","CHEK2;KMT2D;MSH2;MYC;NOTCH1;RB1;TET2",0.0256123486356348,4.430423070817e-06
"QL-X-138","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
"QL-X-138","EN","freq50",47,26,6,4,3,1,21.1600188436958,22.6090492623761,9.44060433329119e-07,25.749874009298,28.3110016420361,3.27793398037933e-05,"BRAF;CTNNB1;ERBB3;MAP2K1;MAPK1;POLG;WWTR1","CHEK2;HOXA13;KMT2D;MYC;PIK3R1;TET2",2.50176014832216e-05,0.00041364404990501
"XMD15-27","DSEN","freq50",28,8,0,1,0,2,0,2.48330596606459,1,20.0578431616269,28.0445528455285,0.0553471454579407,"BCOR;STAG2","CHEK2",1,0.349214132056055
"XMD15-27","EN","freq50",7,3,0,0,0,0,0,9.44116037219485,1,0,19.9687427645288,1,"","",1,1
"T0901317","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"T0901317","EN","freq50",2,3,1,0,1,0,141.798984214153,142.103789126853,0.0139497425329623,0,19.9687427645288,1,"CTNNB1","MYC",0.0535750981338408,1
"Selisistat","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Selisistat","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"THZ-2-49","DSEN","freq50",6,1,0,0,0,0,0,10.893899204244,1,0,46.5958941112912,1,"","",1,1
"THZ-2-49","EN","freq50",34,33,3,4,2,2,13.8578142560146,15.8829924451815,0.00173011007730611,19.5466687411162,21.5896301244051,8.62812495497367e-05,"CTNNB1;EGFR;NFE2L2;RB1","ATM;CHEK2;KMT2D;MYC;PIK3R1",0.0104199811474118,0.000762151037689341
"KIN001-270","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
"KIN001-270","EN","freq50",31,19,3,1,1,0,15.3388228130088,17.5561083471531,0.00131988343528587,7.79970069355471,11.3665128543177,0.126497590610722,"CTNNB1;KRAS;SRC","ID3;MYC",0.00832783596073227,0.29665364169771
"AICA Ribonucleotide","DSEN","freq50",4,9,0,1,0,0,0,15.7363619777413,1,17.5454754554985,24.7446197991392,0.0620472739369036,"","KAT6B",1,0.382384362634406
"AICA Ribonucleotide","EN","freq50",24,50,2,5,3,1,12.9707416385714,15.8337924701561,0.0121749354987419,15.7934365009289,17.1582634828104,2.83194256745419e-05,"CTNNB1;MAPK1;STK11","ASXL1;BAX;BCL2;KAT6B;NOTCH1;PTEN;SRC",0.0488842107146455,0.000380826061685349
"Camptothecin","DSEN","freq50",13,3,1,0,0,1,11.8554864714874,17.0481054365733,0.0872774300183983,0,19.9687427645288,1,"LRP1B;MDM2","",0.282055109205799,1
"Camptothecin","EN","freq50",10,2,0,1,0,0,0,6.74321682696067,1,140.016396193431,140.242276422764,0.0141326386747607,"","KDM5C",1,0.0542775253450953
"Vinblastine","DSEN","freq50",27,19,2,0,0,0,11.4156483709402,13.9700210662778,0.0152718134091619,0,3.58280347421352,1,"CTNNB1;KIT","",0.103770014190459,1
"Vinblastine","EN","freq50",39,23,2,1,1,2,7.71193124526118,9.4969696969697,0.0305218586640483,6.3809836849932,9.34493224932249,0.151024086362041,"APC;CDH1;CTNNB1;KIT","KMT2D",0.0962891969758667,0.336314141898663
"Cisplatin","DSEN","freq50",10,8,2,0,1,0,35.6741221294667,41.9265921244531,0.00211732532103134,0,8.22147011154543,1,"ETV5;SYK","WWTR1",0.0400779435766647,1
"Cisplatin","EN","freq50",30,18,3,3,2,0,15.9063162998899,18.194934418815,0.00119832525411695,28.2655714681833,31.8645794836598,0.000266286841553267,"CTNNB1;ETV5;SYK","ATRX;KDM5C;MAP2K4;WWTR1",0.0077452729839266,0.00196016702810044
"Cytarabine","DSEN","freq50",7,0,0,0,0,0,0,9.44116037219485,1,NA,139.790923824959,1,"","",1,1
"Cytarabine","EN","freq50",11,10,0,1,2,2,0,6.15670736060541,1,15.6010127550251,22.1394094993582,0.06870003369251,"CDKN2A;LRP1B","HRAS;KMT2D",1,0.182055089285151
"Docetaxel","DSEN","freq50",8,5,0,1,2,0,0,8.33024244180431,1,35.093889682082,46.7441734417344,0.0349591741093553,"","CDKN1A;WWTR1",1,0.264690889685119
"Docetaxel","EN","freq50",64,29,2,2,3,2,4.59974908079818,5.69487603305785,0.0741769689088764,10.4290442556813,12.7831825596915,0.0179387931735507,"ARID1B;BCL2;BRAF;ID3","CDKN2A;EGFR;MAPK1;NRG1;WWTR1",0.197058651291458,0.0660247248748739
"Methotrexate","DSEN","freq50",5,5,0,0,0,0,0,12.8749067024929,1,0,12.70679239723,1,"","",1,1
"Methotrexate","EN","freq50",22,24,2,2,2,0,14.2744499469027,17.3793590002016,0.0102839068410554,12.8020430047302,15.6257023744789,0.0124812305175056,"CTNNB1;ERBB3","BAX;MYC;NOTCH1",0.0425818017637449,0.0516800951115464
"Tretinoin","DSEN","freq50",5,3,0,1,0,0,0,12.8749067024929,1,70.1678740665494,84.1434146341463,0.0211241228056388,"","PTEN",1,0.186596418116476
"Tretinoin","EN","freq50",4,23,0,3,1,0,0,15.7363619777413,1,21.1993531110573,24.0899365294799,0.000562958828251733,"","BAX;BCL2;PTEN;TET2",1,0.00355200213063593
"Gefitinib","DSEN","freq50",0,1,0,0,1,0,NA,141.64039408867,1,0,46.5958941112912,1,"","EGFR",1,1
"Gefitinib","EN","freq50",3,6,0,0,1,0,0,20.2329345531316,1,0,10.7516519137265,1,"","EGFR",1,1
"Navitoclax","DSEN","freq50",35,12,1,3,1,0,4.18287015567537,6.17369815915765,0.218025367286969,47.0668256324818,51.9968128176415,7.40951622387871e-05,"MAPK1","BAX;BCL2;PTEN;RB1",0.621255078828461,0.00392704359865572
"Navitoclax","EN","freq50",64,32,1,6,3,3,2.25598960699959,3.35195682911959,0.362280562730394,32.9172185265372,34.9473569312334,9.39852060673094e-08,"ARID1A;CHD2;IKZF1;MAPK1","BAX;BCL2;CHEK2;NOTCH1;PIK3R1;PTEN;RB1;SYK",0.793424372921936,5.94362244991597e-06
"Vorinostat","DSEN","freq50",21,8,2,2,0,0,15.0237029657611,18.2710319983047,0.0093920734431067,46.9179396526189,54.1090475592923,0.00136447850697762,"AKT1;ERBB3","CHEK2;PTEN",0.0957269024008952,0.0328715276680973
"Vorinostat","EN","freq50",50,25,7,2,1,0,23.5989820728688,24.9704433497537,5.92866940982228e-08,12.2452962255063,14.9604317795287,0.0135036429824247,"AKT1;CTNNB1;ERBB3;KDR;KRAS;MAPK1;WWTR1","CHEK2;NRAS;PTEN",3.92774348400726e-06,0.0542191725809476
"Nilotinib","DSEN","freq50",11,10,1,2,0,1,14.2308518897012,20.2963050129442,0.0743617552043239,35.2051827281486,41.3755877554937,0.00217243613644981,"ELF4","BAX;CDKN1B",0.259287699067708,0.0411211125828
"Nilotinib","EN","freq50",6,10,1,1,0,1,28.4610286177919,38.7519844241426,0.0412700234676886,15.6010127550251,22.1394094993582,0.06870003369251,"ELF4","IKZF1",0.122967311217565,0.182055089285151
"Refametinib_repl_1014","DSEN","freq50",2,6,0,0,1,0,0,28.3267651888342,1,0,10.7516519137265,1,"","MAP2K1",1,1
"Refametinib_repl_1014","EN","freq50",1,7,1,1,4,0,Inf,426.321252059308,0.00699928625699342,23.3935098890477,32.3598499061914,0.0485993120890705,"MYC","ASXL1;BRAF;KRAS;MAP2K1;NRAS",0.0299163041629557,0.139987148952214
"CI-1040","DSEN","freq50",5,7,2,1,3,1,95.3446333218756,101.833530106257,0.000481544201548748,23.3935098890477,32.3598499061914,0.0485993120890705,"AKT1;TP53","BRAF;KRAS;MAP2K1;SMAD3",0.0159511516763023,0.330226094964197
"CI-1040","EN","freq50",1,6,0,1,4,0,0,47.2123700054735,1,28.0886098655739,38.2443458980044,0.0418034352858845,"","BRAF;CDKN2A;KRAS;MAP2K1;NRAS",1,0.125885344894993
"Temsirolimus","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Temsirolimus","EN","freq50",21,9,1,0,2,3,7.11402487347701,10.3932575240085,0.137168546947223,0,7.35588160027297,1,"APC;POLQ;RB1","CCND1;MAP2K1",0.327474458928055,1
"Olaparib_repl_1017","DSEN","freq50",1,2,0,0,1,0,0,47.2123700054735,1,0,27.9568881685575,1,"","FGFR2",1,1
"Olaparib_repl_1017","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Veliparib","DSEN","freq50",1,0,0,0,0,0,0,47.2123700054735,1,NA,139.790923824959,1,"","",1,1
