"drug","method","selection","n_resistance_genes","n_sensitivity_genes","n_og_in_resistance","n_tsg_in_sensitivity","n_og_in_sensitivity","n_tsg_in_resistance","odds_ratio_og_resistance","odds_ratio_ha_og_resistance","p_og_resistance","odds_ratio_tsg_sensitivity","odds_ratio_ha_tsg_sensitivity","p_tsg_sensitivity","resistance_genes_found","sensitivity_genes_found","p_og_resistance_bh","p_tsg_sensitivity_bh"
"Sorafenib","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Tozasertib","DSEN","freq50",3,4,1,0,0,0,71.0990860703565,85.2602965403624,0.0208517083700367,0,15.5308842067351,1,"MAP2K1","",0.115118806626244,1
"Tozasertib","EN","freq50",0,1,0,0,0,0,NA,141.64039408867,1,0,46.5958941112912,1,"","",1,1
"Imatinib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Imatinib","EN","freq50",39,29,1,1,0,1,3.74235832927548,5.53176148398554,0.239707671241241,5.0136137351878,7.37655113393239,0.186532667731467,"IKZF1;SYK","ASXL1",0.529354440657741,0.398638362490636
"NVP-TAE684","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"NVP-TAE684","EN","freq50",33,25,0,1,3,2,0,2.11241820454378,1,5.84902224103704,8.58168242906919,0.163028690698717,"BCOR;STAG2","CDKN1A;MAP2K1;STAT3",1,0.357046306075702
"Crizotinib","DSEN","freq50",71,35,2,0,1,3,4.13207125486696,5.12045900469707,0.0886167640453156,0,1.96728833291483,1,"BCOR;EXT2;MAP2K1;PSIP1;STAG2","STAT3",0.282933041831429,1
"Crizotinib","EN","freq50",1,2,0,0,0,0,0,47.2123700054735,1,0,27.9568881685575,1,"","",1,1
"Saracatinib","DSEN","freq50",1,4,0,0,0,0,0,47.2123700054735,1,0,15.5308842067351,1,"","",1,1
"Saracatinib","EN","freq50",11,31,1,1,2,0,14.2308518897012,20.2963050129442,0.0743617552043239,4.67871733887882,6.89252299080368,0.198036761594469,"PDCD1LG2","ASXL1;ERG;NT5C2",0.197058651291458,0.419837934580274
"S-Trityl-L-cysteine","DSEN","freq50",2,0,0,0,0,0,0,28.3267651888342,1,NA,139.790923824959,1,"","",1,1
"S-Trityl-L-cysteine","EN","freq50",2,0,0,0,0,0,0,28.3267651888342,1,NA,139.790923824959,1,"","",1,1
"Z-LLNle-CHO","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Z-LLNle-CHO","EN","freq50",6,1,0,0,0,1,0,10.893899204244,1,0,46.5958941112912,1,"RB1","",1,1
"Dasatinib","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Dasatinib","EN","freq50",5,30,0,0,1,1,0,12.8749067024929,1,0,2.29006031298988,1,"CDKN2A","ERG",1,1
"GNF-2","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GNF-2","EN","freq50",22,18,1,1,0,1,6.77362675090947,9.9096203210605,0.143210672666564,8.2603669739856,12.0163066202091,0.120256406067796,"IKZF1;SYK","ASXL1",0.335848037669375,0.287098627098793
"CGP-60474","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"CGP-60474","EN","freq50",1,5,0,0,0,0,0,47.2123700054735,1,0,12.70679239723,1,"","",1,1
"CGP-082996","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"CGP-082996","EN","freq50",16,29,0,1,1,0,0,4.29054087674777,1,5.0136137351878,7.37655113393239,0.186532667731467,"","ID3;MYC",1,0.398638362490636
"A-770041","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"A-770041","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"WH-4-023","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"WH-4-023","EN","freq50",7,15,0,0,0,1,0,9.44116037219485,1,0,4.50781617608616,1,"CDKN2A","",1,1
"WZ-1-84","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"WZ-1-84","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"BI-2536","DSEN","freq50",3,0,0,0,0,0,0,20.2329345531316,1,NA,139.790923824959,1,"","",1,1
"BI-2536","EN","freq50",6,22,1,3,2,0,28.4610286177919,38.7519844241426,0.0412700234676886,22.3048741904576,25.3259054093751,0.00049210470222266,"AKT1","DNM2;ERG;NOTCH1;PTPRB",0.122967311217565,0.00319441087668131
"BMS-536924_repl_62","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"BMS-536924_repl_62","EN","freq50",1,10,0,0,0,0,0,47.2123700054735,1,0,6.65516709114764,1,"","",1,1
"BMS-509744","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"BMS-509744","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"CMK","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"CMK","EN","freq50",7,16,1,0,1,0,23.7016996883841,32.7893803066785,0.0479813761484129,0,4.2345169687147,1,"KIT","MYC",0.139725985487136,1
"Pyrimethamine","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Pyrimethamine","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"JW-7-52-1","DSEN","freq50",2,2,1,0,0,0,141.798984214153,142.103789126853,0.0139497425329623,0,27.9568881685575,1,"AKT1","",0.0999103181414869,1
"JW-7-52-1","EN","freq50",1,0,1,0,0,0,Inf,426.321252059308,0.00699928625699342,NA,139.790923824959,1,"AKT1","",0.0299163041629557,1
"A-443654","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"A-443654","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GW843682X","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GW843682X","EN","freq50",9,8,1,1,1,1,17.7826946781057,25.0730690958426,0.0612639240628351,20.0578431616269,28.0445528455285,0.0553471454579407,"AKT1;ARID1A","NOTCH1",0.169113957048451,0.154389405751098
"Entinostat","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Entinostat","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Parthenolide","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Parthenolide","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GSK319347A","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GSK319347A","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"TGX221","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"TGX221","EN","freq50",12,19,0,2,1,0,0,5.664039408867,1,16.5684387071867,20.0925192262876,0.00791508429513358,"","NF1;PTEN;WWTR1",1,0.0338306022292
"Bortezomib","DSEN","freq50",11,9,0,0,0,0,0,6.15670736060541,1,0,7.35588160027297,1,"","",1,1
"Bortezomib","EN","freq50",3,2,0,0,0,0,0,20.2329345531316,1,0,27.9568881685575,1,"","",1,1
"XMD8-85","DSEN","freq50",4,3,0,0,0,0,0,15.7363619777413,1,0,19.9687427645288,1,"","",1,1
"XMD8-85","EN","freq50",7,17,0,0,1,0,0,9.44116037219485,1,0,3.99245195647141,1,"","MYC",1,1
"Seliciclib","DSEN","freq50",49,14,1,0,0,0,2.96191243613559,4.39017306679801,0.29132759007473,0,4.81881182585369,1,"RET","",0.821295865636207,1
"Seliciclib","EN","freq50",46,33,2,1,1,1,6.48392847557289,8.00176432352122,0.0412984554655219,4.38628403506534,6.46806754221388,0.209378684778827,"HOXA9;RET","ID3;MYC",0.122967311217565,0.436892531231411
"Salubrinal","DSEN","freq50",13,4,2,0,0,0,25.9283341937508,30.9870643190801,0.00361948543581394,0,15.5308842067351,1,"AKT1;SRC","",0.0564213906170997,1
"Salubrinal","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"Lapatinib","DSEN","freq50",8,10,0,0,4,0,0,8.33024244180431,1,0,6.65516709114764,1,"","ERBB2;ERBB3;KDR;WWTR1",1,1
"Lapatinib","EN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GSK269962A_repl_127","DSEN","freq50",0,0,0,0,0,0,NA,141.64039408867,1,NA,139.790923824959,1,"","",1,1
"GSK269962A_repl_127","EN","freq50",3,7,1,0,0,0,71.0990860703565,85.2602965403624,0.0208517083700367,0,9.31788222582388,1,"MAP2K1","",0.074527470587363,1
