"drug","method","selection","n_selected_genes","n_cosmic_in_selected","n_cosmic_in_universe","odds_ratio","odds_ratio_ha","p_value","cosmic_genes_found","p_adj_bh"
"rTRAIL","EN","freq50",5,0,545,0,7.14665444546288,1,"",1
"rTRAIL","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"rTRAIL","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"KEAP1;MUTYH;PLAG1;ZNF331",0.00746615457546488
"UNC1215","DSEN","freq25",11,2,545,17.542963051012,20.7618747881664,0.00801953945548264,"RAF1;WWTR1",0.0168664917119278
"UNC1215","DSEN","freq50",2,0,545,0,15.7237396883593,1,"",1
"UNC1215","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"UNC1215","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"CCND1;CDH1;KDR;MSH2;RAF1;RB1;WWTR1",1.73825365950792e-05
"UNC1215","EN","freq25",25,3,545,10.7821815523043,12.2914695340502,0.00367986491526794,"RAF1;VHL;WWTR1",0.00554070569628411
"UNC1215","EN","freq50",5,1,545,19.7007789079056,26.2531374349556,0.0611881546420108,"VHL",0.101980257736685
"UNC1215","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"UNC1215","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDKN2C;HEY1;VHL",0.0377295095101168
"SGC0946","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"SGC0946","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"SGC0946","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"SGC0946","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"SGC0946","EN","freq25",1,0,545,0,26.2068438741216,1,"",1
"SGC0946","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"SGC0946","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"SGC0946","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"ERBB4;PTPRK",0.156041294615249
"XAV939","DSEN","freq25",142,18,545,11.779072479765,12.0465673119016,2.99678541008753e-13,"BAP1;BCL2;CBLB;CDH1;CDKN1B;CTNNB1;EGFR;ESR1;MAP3K1;MAPK1;MSH2;NRAS;PBRM1;RAF1;SGK1;SMAD4;SPEN;WWTR1",1.32358022278866e-11
"XAV939","DSEN","freq50",34,6,545,17.0348785315406,18.1190023250898,3.78978607574791e-06,"BCL2;EGFR;MAP3K1;SMAD4;SPEN;WWTR1",6.27683318795748e-05
"XAV939","DSEN","freq75",7,3,545,59.2293872613531,61.4831541218638,6.62388069993637e-05,"EGFR;SMAD4;WWTR1",0.00250761197926163
"XAV939","DSEN","top50",50,10,545,20.0135557539578,20.7448559670782,5.84024470145415e-10,"BAP1;BCL2;CBLB;CTNNB1;EGFR;MAP3K1;MSH2;SMAD4;SPEN;WWTR1",2.57944140980892e-08
"XAV939","EN","freq25",210,24,545,10.5734572466803,10.7568778451518,3.59989675968714e-16,"AMER1;APC;BAP1;BCL2;CBLB;CBLC;CDH1;CDKN1B;CTNNB1;EGFR;ESR1;KDR;KEAP1;MAP3K1;NF2;PBRM1;PTPRK;SGK1;SMAD4;SMARCA4;SPEN;STK11;VHL;WWTR1",5.61160377245348e-15
"XAV939","EN","freq50",51,8,545,14.8437183407073,15.5760171077252,2.31513359930475e-07,"AMER1;BCL2;EGFR;NF2;SMAD4;SPEN;STK11;WWTR1",1.5337760095394e-06
"XAV939","EN","freq75",12,3,545,26.3479716703424,29.1202037351443,0.000397303516398168,"EGFR;SMAD4;WWTR1",0.00244849841501196
"XAV939","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"KEAP1;NF2;STK11;VHL",0.00746615457546488
"PLX-4720_repl_1371","DSEN","freq25",9,4,545,63.4341041754242,64.7950138504155,2.93910101505815e-06,"BRAF;MAP2K1;RAF1;TP53",1.8544327833105e-05
"PLX-4720_repl_1371","DSEN","freq50",3,3,545,Inf,553.4,1.96501443861846e-06,"BRAF;MAP2K1;RAF1",4.6608747736464e-05
"PLX-4720_repl_1371","DSEN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"MAP2K1",0.0898712586829923
"PLX-4720_repl_1371","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"BRAF;CCNE1;GATA3;MAP2K1;PTPN13;RAF1;TP53;WWTR1",2.09196963370946e-06
"PLX-4720_repl_1371","EN","freq25",4,2,545,78.8657249878915,78.9080036798528,0.000927364968499253,"BRAF;FAT4",0.00151698590526112
"PLX-4720_repl_1371","EN","freq50",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0244502689064023
"PLX-4720_repl_1371","EN","freq75",1,1,545,Inf,236.300275482094,0.012548062533097,"BRAF",0.0386655415264037
"PLX-4720_repl_1371","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"BRAF;CDKN2C;FAT4",0.0377295095101168
"Trametinib","DSEN","freq25",14,3,545,21.5645361169029,24.054698457223,0.000645180244087219,"ERBB3;MAP2K1;SMARCA4",0.00198805540329201
"Trametinib","DSEN","freq50",5,1,545,19.7007789079056,26.2531374349556,0.0611881546420108,"MAP2K1",0.154427247429837
"Trametinib","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Trametinib","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"AKT1;ERBB3;KIT;MAP2K1;NOTCH1;SMARCA4",0.000135308025439973
"Trametinib","EN","freq25",65,14,545,22.1301251244772,22.6924622564824,6.90346565746107e-14,"ASXL1;BRAF;CDKN2A;ERBB3;ETNK1;EZH2;KRAS;MAP2K1;MITF;NRAS;RB1;SMARCA4;TP53;TRRAP",6.09806133075728e-13
"Trametinib","EN","freq50",16,7,545,62.035421446245,62.8639495675121,4.88985272007742e-10,"ASXL1;BRAF;ERBB3;KRAS;MAP2K1;NRAS;RB1",1.07984247568376e-08
"Trametinib","EN","freq75",6,3,545,79.0079299762718,79.0516129032258,3.82077092385717e-05,"BRAF;KRAS;MAP2K1",0.000349695905669862
"Trametinib","EN","top50",50,10,545,20.0135557539578,20.7448559670782,5.84024470145415e-10,"ASXL1;BRAF;CDKN2A;ETNK1;EZH2;KRAS;MAP2K1;NRAS;RB1;TP53",1.54766484588535e-07
"Dabrafenib","DSEN","freq25",31,6,545,19.0712173823382,20.252067091897,2.14203025183562e-06,"AKT1;ATM;BAX;BRAF;MAP2K1;TP53",1.4190950418411e-05
"Dabrafenib","DSEN","freq50",8,5,545,131.676099595265,124.68362627197,1.6581109915657e-08,"ATM;BAX;BRAF;MAP2K1;TP53",1.09849853191228e-06
"Dabrafenib","DSEN","freq75",4,4,545,Inf,712.828254847645,2.45230906224086e-08,"ATM;BRAF;MAP2K1;TP53",6.49861901493827e-06
"Dabrafenib","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"AKT1;ATM;BAX;BRAF;MAP2K1;TP53;WWTR1",1.73825365950792e-05
"Dabrafenib","EN","freq25",13,5,545,49.5749329143759,51.3343309571747,3.61757808027813e-07,"ATM;BRAF;MAP2K1;MITF;TP53",9.98602282576776e-07
"Dabrafenib","EN","freq50",4,3,545,236.80380249705,184.462365591398,7.7864884826066e-06,"ATM;BRAF;TP53",3.17449145829346e-05
"Dabrafenib","EN","freq75",2,2,545,Inf,394.558417663293,0.000157168585789389,"BRAF;TP53",0.00122499044806435
"Dabrafenib","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"ATM;BRAF;NF2;NT5C2;TP53",0.00122341967851878
"Temozolomide","DSEN","freq25",3,0,545,0,11.230980751604,1,"",1
"Temozolomide","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Temozolomide","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Temozolomide","DSEN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"BCOR;STAT3",0.158188651880597
"Temozolomide","EN","freq25",5,0,545,0,7.14665444546288,1,"",1
"Temozolomide","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Temozolomide","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Temozolomide","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"Afatinib_repl_1377","DSEN","freq25",96,8,545,7.24600169795999,7.64796741558271,2.94395421754893e-05,"AKT1;CDH1;EGFR;ERBB2;KIT;LATS2;RAF1;SMAD3",0.00012738660364485
"Afatinib_repl_1377","DSEN","freq50",32,5,545,14.6988633617606,15.8599444958372,4.64854718880706e-05,"EGFR;ERBB2;KIT;RAF1;SMAD3",0.000456246298160693
"Afatinib_repl_1377","DSEN","freq75",13,2,545,14.3582517822988,17.1503139874405,0.0111862229266031,"ERBB2;RAF1",0.0898712586829923
"Afatinib_repl_1377","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"EGFR;ERBB2;KIT;LATS2;RAF1;SMAD3",0.000135308025439973
"Afatinib_repl_1377","EN","freq25",24,5,545,20.8861832387831,22.37076306364,1.06584419431062e-05,"EGFR;ERBB2;KIT;RAF1;SMAD3",2.35373926243594e-05
"Afatinib_repl_1377","EN","freq50",5,0,545,0,7.14665444546288,1,"",1
"Afatinib_repl_1377","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Afatinib_repl_1377","EN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"EGFR;FAT1;FUBP1;NF2",0.00746615457546488
"Bleomycin (50 uM)","DSEN","freq25",141,14,545,8.87487752691937,9.14971316842824,3.42748165475392e-09,"AKT1;APC;CDH1;CDKN2A;EGFR;ERBB2;JUN;MAP2K1;NRG1;SMAD3;SRC;SYK;TP53;WWTR1",5.34283905005758e-08
"Bleomycin (50 uM)","DSEN","freq50",32,6,545,18.3451472001286,19.4873834962491,2.6084450332441e-06,"CDH1;JUN;MAP2K1;SYK;TP53;WWTR1",4.93741381292634e-05
"Bleomycin (50 uM)","DSEN","freq75",8,2,545,26.3002826982032,30.3464015285542,0.00418572073447178,"JUN;WWTR1",0.0462173331097925
"Bleomycin (50 uM)","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"CDH1;EGFR;JUN;MAP2K1;SYK;TP53;WWTR1",1.73825365950792e-05
"Bleomycin (50 uM)","EN","freq25",332,20,545,5.19859292492103,5.31497316841104,1.08523159010228e-08,"APC;BRAF;CDH1;CDH10;CDKN2A;EGFR;EZH2;JUN;LATS2;LRP1B;MAP2K1;MYC;NF2;NRG1;RB1;SRC;STK11;SYK;TP53;WWTR1",3.99425515801535e-08
"Bleomycin (50 uM)","EN","freq50",81,10,545,11.267786810322,11.7420814479638,7.54323517264847e-08,"CDH1;CDKN2A;EGFR;EZH2;JUN;MAP2K1;RB1;SYK;TP53;WWTR1",5.71130663071956e-07
"Bleomycin (50 uM)","EN","freq75",21,7,545,39.8234146303753,41.1819229660936,4.70703621748761e-09,"EGFR;EZH2;JUN;RB1;SYK;TP53;WWTR1",4.15788199211405e-07
"Bleomycin (50 uM)","EN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"EZH2;MAP2K1;NF2;RB1;SRC;STIL;STK11;TP53",4.35827007022804e-06
"SN-38","DSEN","freq25",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"CDKN2A;NRG1;TP63",0.0475454925705555
"SN-38","DSEN","freq50",11,0,545,0,3.41748694855139,1,"",1
"SN-38","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"SN-38","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"ATRX;CDKN2A;NRG1;TP53",0.00588945112474559
"SN-38","EN","freq25",47,4,545,7.36713184724062,8.18521348743911,0.00285415081305684,"ETV5;KDM5C;NOTCH1;TP53",0.00434683888195438
"SN-38","EN","freq50",11,2,545,17.542963051012,20.7618747881664,0.00801953945548264,"KDM5C;TP53",0.0170014236456232
"SN-38","EN","freq75",3,0,545,0,11.230980751604,1,"",1
"SN-38","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CCND1;ETV5;KDM5C;NOTCH1;TP53",0.00122341967851878
"Olaparib","DSEN","freq25",18,1,545,4.63596356183333,6.74876033057851,0.203349291465712,"WWTR1",0.304449504171829
"Olaparib","DSEN","freq50",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"WWTR1",0.105927757171352
"Olaparib","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Olaparib","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"HIP1;MAP2K1;PAX5;SYK;WWTR1",0.000969918303690561
"Olaparib","EN","freq25",182,13,545,6.17608060269288,6.38955502929079,6.01095646768557e-07,"CBLB;CBLC;CREBBP;ERCC5;ETV5;EZH2;MYD88;NCOR2;PIK3CA;STAG2;TP53;WWTR1;YWHAE",1.63106586620091e-06
"Olaparib","EN","freq50",41,6,545,13.6258787865046,14.5438656032581,1.1762131282821e-05,"CBLC;ERCC5;ETV5;NCOR2;STAG2;WWTR1",4.45280684278224e-05
"Olaparib","EN","freq75",3,0,545,0,11.230980751604,1,"",1
"Olaparib","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CBLC;DEK;ERCC5;PIK3CA;STAG2",0.00122341967851878
"Selumetinib_repl_1498","DSEN","freq25",69,14,545,20.5376588031345,21.0550032629054,1.67147146792869e-13,"AKT1;ATM;BRAF;CDH1;CDKN1A;ERBB3;KRAS;MAP2K1;NRAS;PAX5;SMAD4;SMARCA4;SRC;TP53",8.85879878002203e-12
"Selumetinib_repl_1498","DSEN","freq50",18,6,545,39.7514518269528,41.3267469879518,6.2031360783159e-08,"BRAF;ERBB3;KRAS;PAX5;SMARCA4;TP53",2.73971843458952e-06
"Selumetinib_repl_1498","DSEN","freq75",6,3,545,79.0079299762718,79.0516129032258,3.82077092385717e-05,"BRAF;ERBB3;TP53",0.00168750715803692
"Selumetinib_repl_1498","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"AKT1;BRAF;ERBB3;KRAS;NRAS;PAX5;SMARCA4;TP53",2.09196963370946e-06
"Selumetinib_repl_1498","EN","freq25",35,9,545,27.6650729089894,28.6408236473298,3.81566860080299e-10,"ASXL1;BRAF;ERBB3;KMT2D;KRAS;MAP2K1;NRAS;PTPN13;TP53",1.87250403557924e-09
"Selumetinib_repl_1498","EN","freq50",12,6,545,79.4374730645971,79.4856348470806,3.29179508462375e-09,"ASXL1;BRAF;KRAS;MAP2K1;NRAS;TP53",4.59118788118575e-08
"Selumetinib_repl_1498","EN","freq75",3,2,545,157.416892154451,131.516406010426,0.00046757572849093,"BRAF;NRAS",0.00269364278369775
"Selumetinib_repl_1498","EN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"ASXL1;BRAF;HRAS;KRAS;NRAS;TP53",0.000164144162009147
"Bicalutamide","DSEN","freq25",106,3,545,2.29911352123009,2.66700950599969,0.148681006052026,"BCL2;RAF1;WWTR1",0.23313885564371
"Bicalutamide","DSEN","freq50",23,1,545,3.5812046210805,5.24842363024181,0.252114581816172,"RAF1",0.494891586528041
"Bicalutamide","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide","DSEN","top50",50,1,545,1.60706347255494,2.38414447505357,0.468329529136406,"RAF1",0.534945367332532
"Bicalutamide","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"Refametinib","DSEN","freq25",153,19,545,11.5189019596903,11.7732342007435,9.57904241887996e-14,"BAX;BRAF;CDH1;CDKN1A;CDKN1B;CTNNB1;ERBB3;ETV5;FHIT;GATA3;KRAS;MAP2K1;NOTCH1;NRAS;PAX5;SMAD4;SMARCA4;SRC;TP53",6.34611560250797e-12
"Refametinib","DSEN","freq50",42,9,545,21.7932757442115,22.6524738840745,2.22886031950305e-09,"BRAF;CTNNB1;ERBB3;GATA3;KRAS;MAP2K1;NOTCH1;SRC;TP53",2.90775232475098e-07
"Refametinib","DSEN","freq75",13,5,545,49.5749329143759,51.3343309571747,3.61757808027813e-07,"BRAF;ERBB3;KRAS;MAP2K1;TP53",3.19552730424568e-05
"Refametinib","DSEN","top50",50,10,545,20.0135557539578,20.7448559670782,5.84024470145415e-10,"BRAF;CDKN1A;CTNNB1;ERBB3;FHIT;KRAS;MAP2K1;NOTCH1;SRC;TP53",2.57944140980892e-08
"Refametinib","EN","freq25",40,10,545,26.6877671116854,27.5528768884603,5.39231488162662e-11,"ASXL1;BRAF;CDKN2A;ERBB3;EZH2;KRAS;MAP2K1;NRAS;RB1;TP53",3.17547431918012e-10
"Refametinib","EN","freq50",10,6,545,119.10276402263,114.817938420348,7.64295910765189e-10,"ASXL1;BRAF;KRAS;MAP2K1;NRAS;TP53",1.44670297394839e-08
"Refametinib","EN","freq75",5,4,545,317.286709952557,237.603878116343,1.21393505378803e-07,"ASXL1;BRAF;MAP2K1;NRAS",2.92447990230752e-06
"Refametinib","EN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"ASXL1;BRAF;CDKN2A;EZH2;KRAS;MAP2K1;NRAS;TP53",4.35827007022804e-06
"Pictilisib_repl_1527","DSEN","freq25",105,9,545,7.48435378438518,7.85225193032947,7.46476046742574e-06,"AKT1;CDKN1A;ETV6;FGFR2;KAT6B;MAP2K1;MAP3K1;MTOR;NOTCH1",3.99902038910158e-05
"Pictilisib_repl_1527","DSEN","freq50",23,3,545,11.8629172896472,13.4912667191188,0.00288659365672863,"AKT1;MAP3K1;MTOR",0.0152989463806617
"Pictilisib_repl_1527","DSEN","freq75",2,1,545,78.7240050418944,78.7649219467401,0.0249389564804046,"MTOR",0.146862743717938
"Pictilisib_repl_1527","DSEN","top50",50,7,545,12.9611199026426,13.7180226042967,2.9517514972776e-06,"AKT1;CDKN1A;ETV6;MAP2K1;MAP3K1;MTOR;NOTCH1",1.73825365950792e-05
"Pictilisib_repl_1527","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib_repl_1527","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib_repl_1527","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Pictilisib_repl_1527","EN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"ETV4;HRAS;MAP2K1;PTPN11;WT1",0.00122341967851878
"Pevonedistat","DSEN","freq25",68,7,545,9.13308700911325,9.69891523427769,2.35840226884739e-05,"AKT1;CCND2;CDKN1A;MAML2;MAP2K1;MAPK1;RB1",0.000105928237499078
"Pevonedistat","DSEN","freq50",8,2,545,26.3002826982032,30.3464015285542,0.00418572073447178,"CCND2;MAP2K1",0.0198074284756254
"Pevonedistat","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Pevonedistat","DSEN","top50",50,6,545,10.8365410698781,11.5999729254095,3.77841278587093e-05,"CCND2;CDKN1A;MAML2;MAP2K1;MAPK1;RB1",0.000135308025439973
"Pevonedistat","EN","freq25",329,17,545,4.39335494603561,4.51141721854305,1.16333757547583e-06,"ATP1A1;BCL2;CCND2;CDKN1A;CDKN2A;FUBP1;KDM6A;MAML2;MAP2K1;MAPK1;MSH6;NKX2-1;RB1;STIL;TBX3;TP53;U2AF1",3.05232136139699e-06
"Pevonedistat","EN","freq50",59,3,545,4.23321435410277,4.89095061375963,0.0380785647375309,"CCND2;MAML2;MAP2K1",0.0663869714174059
"Pevonedistat","EN","freq75",4,1,545,26.2528009503212,33.7548209366391,0.0492570741523153,"MAP2K1",0.117595717570843
"Pevonedistat","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"FUBP1;STIL;U2AF1",0.0377295095101168
"Doxorubicin","DSEN","freq25",22,3,545,12.4860277287968,14.1834574028122,0.00253351374890639,"CCND1;NOTCH1;SETBP1",0.00651826352873974
"Doxorubicin","DSEN","freq50",2,0,545,0,15.7237396883593,1,"",1
"Doxorubicin","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Doxorubicin","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CCND1;GATA3;NOTCH1;NRG1;SETBP1",0.000969918303690561
"Doxorubicin","EN","freq25",35,3,545,7.4127821862445,8.50749379652605,0.00954678161230091,"APOBEC3B;MAP2K1;NOTCH1",0.0137494409090203
"Doxorubicin","EN","freq50",4,0,545,0,8.73500356451777,1,"",1
"Doxorubicin","EN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Doxorubicin","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"APOBEC3B;MAP2K1",0.156041294615249
"Etoposide","DSEN","freq25",162,7,545,3.58657788217897,3.8274861395982,0.00453575433622384,"CCND1;CCND2;CCR7;ERCC4;MYB;TBL1XR1;TP63",0.0103618525784424
"Etoposide","DSEN","freq50",26,1,545,3.15148412149652,4.63063793010317,0.279931503329736,"CCND1",0.5454547675175
"Etoposide","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Etoposide","DSEN","top50",50,5,545,8.81388568466581,9.58165516259873,0.000406267666828877,"CCND1;CCND2;CCR7;MAP2K1;TP63",0.000969918303690561
"Etoposide","EN","freq25",251,14,545,4.74435299881614,4.89931573996138,4.22649903416457e-06,"APOBEC3B;BAP1;CCND1;CCR7;CTNNB1;EP300;ERCC4;KDM5C;KMT2D;MAP2K1;NOTCH1;TBL1XR1;TP53;TP63",1.00902904869695e-05
"Etoposide","EN","freq50",42,4,545,8.33612092727875,9.24930747922438,0.0018814654956077,"CCR7;KDM5C;KMT2D;NOTCH1",0.00437358207312316
"Etoposide","EN","freq75",4,0,545,0,8.73500356451777,1,"",1
"Etoposide","EN","top50",50,3,545,5.04437632548958,5.81887945670628,0.0249157138274356,"KDM5C;KMT2D;NOTCH1",0.0377295095101168
"Gemcitabine","DSEN","freq25",37,6,545,15.3879451993952,16.3922356091031,6.3453639615217e-06,"BRAF;GATA3;GRIN2A;NRG1;SRC;ZFHX3",3.65548141261576e-05
"Gemcitabine","DSEN","freq50",6,0,545,0,6.04702813227103,1,"",1
"Gemcitabine","DSEN","freq75",3,0,545,0,11.230980751604,1,"",1
"Gemcitabine","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"BAP1;BRAF;CDC73;GATA3;GRIN2A;NRG1;SRC;ZFHX3",2.09196963370946e-06
"Gemcitabine","EN","freq25",64,5,545,6.72055590900928,7.32475376829733,0.00126643865129352,"BRAF;GRIN2A;KMT2D;NRG1;SRC",0.00203397722783504
"Gemcitabine","EN","freq50",11,0,545,0,3.41748694855139,1,"",1
"Gemcitabine","EN","freq75",3,0,545,0,11.230980751604,1,"",1
"Gemcitabine","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"Mitomycin-C","DSEN","freq25",21,3,545,13.1793734694043,14.9504795117698,0.00220847378829761,"GATA3;NRG1;TP63",0.00585245553898867
"Mitomycin-C","DSEN","freq50",5,0,545,0,7.14665444546288,1,"",1
"Mitomycin-C","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Mitomycin-C","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"CCND1;GATA3;NRG1;TP63",0.00588945112474559
"Mitomycin-C","EN","freq25",38,2,545,4.38398323731039,5.40037302617484,0.0822020148067854,"KDM5C;TP63",0.107308048885705
"Mitomycin-C","EN","freq50",6,0,545,0,6.04702813227103,1,"",1
"Mitomycin-C","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Mitomycin-C","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"KDM5C;NOTCH1",0.156041294615249
"Vinorelbine","DSEN","freq25",20,0,545,0,1.91672441930652,1,"",1
"Vinorelbine","DSEN","freq50",7,0,545,0,5.24063550259701,1,"",1
"Vinorelbine","DSEN","freq75",1,0,545,0,26.2068438741216,1,"",1
"Vinorelbine","DSEN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"ARNT;CCND2",0.158188651880597
"Vinorelbine","EN","freq25",146,5,545,2.80697661823828,3.07412322708655,0.0374692197513345,"ARNT;CCND3;FANCG;KDM5C;KMT2D",0.0509197088928392
"Vinorelbine","EN","freq50",20,0,545,0,1.91672441930652,1,"",1
"Vinorelbine","EN","freq75",2,0,545,0,15.7237396883593,1,"",1
"Vinorelbine","EN","top50",50,2,545,3.2870923356371,4.06306015800605,0.130132551358378,"CCND3;KDM5C",0.156041294615249
"NSC-87877","DSEN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"NSC-87877","DSEN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"NSC-87877","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"NSC-87877","DSEN","top50",50,0,545,0,0.77753174034177,1,"",1
"NSC-87877","EN","freq25",8,0,545,0,4.62398231519922,1,"",1
"NSC-87877","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"NSC-87877","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"NSC-87877","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"Bicalutamide_repl_150","DSEN","freq25",86,13,545,14.3329547823885,14.7682092555332,6.26753235217655e-11,"AKT3;AR;CTNNB1;ERBB2;ERBB3;KDR;LCK;MAP2K1;MDM2;MSH2;NCOR2;PDCD1LG2;WWTR1",1.84544008147421e-09
"Bicalutamide_repl_150","DSEN","freq50",33,6,545,17.6656497807434,18.778313253012,3.15436781155811e-06,"AKT3;ERBB2;ERBB3;MAP2K1;MDM2;WWTR1",5.57271646708599e-05
"Bicalutamide_repl_150","DSEN","freq75",3,1,545,39.3956188016146,47.2578512396694,0.0371746468563612,"ERBB2",0.182431137350661
"Bicalutamide_repl_150","DSEN","top50",50,8,545,15.1966004761939,15.9428837209302,1.97355625821647e-07,"AKT3;AR;CTNNB1;ERBB2;ERBB3;MAP2K1;MDM2;WWTR1",2.09196963370946e-06
"Bicalutamide_repl_150","EN","freq25",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide_repl_150","EN","freq50",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide_repl_150","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"Bicalutamide_repl_150","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"QS11","DSEN","freq25",7,1,545,13.1345969378807,18.1744013562195,0.0846038210159644,"ELF4",0.141898813729307
"QS11","DSEN","freq50",1,0,545,0,26.2068438741216,1,"",1
"QS11","DSEN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"QS11","DSEN","top50",50,4,545,6.884833271359,7.65659905281029,0.00357811936258128,"BRAF;ELF4;RB1;ZNF521",0.00588945112474559
"QS11","EN","freq25",21,1,545,3.93983215991533,5.76073372303971,0.232976624280328,"ELF4",0.287157234578079
"QS11","EN","freq50",3,0,545,0,11.230980751604,1,"",1
"QS11","EN","freq75",0,0,545,NA,78.6223648029331,1,"",1
"QS11","EN","top50",50,0,545,0,0.77753174034177,1,"",1
"CP466722","DSEN","freq25",57,6,545,9.34720366550414,10.0216399578898,8.0121246010124e-05,"CDK6;GNAS;LRP1B;NDRG1;PTEN;SALL4",0.000312237208715924
"CP466722","DSEN","freq50",13,2,545,14.3582517822988,17.1503139874405,0.0111862229266031,"NDRG1;PTEN",0.0435933687580855
"CP466722","DSEN","freq75",4,2,545,78.8657249878915,78.9080036798528,0.000927364968499253,"NDRG1;PTEN",0.0136528731473501
