"analysis","selection","method","group_name","n","n_sig_raw","frac_sig_raw","n_sig_bh","frac_sig_bh","median_odds_ratio_ha","median_n_selected","p_value"
"pathway_enrichment","freq50","EN","Other, kinases",35,20,0.571428571428571,17,0.485714285714286,17.9469910371319,22,NA
"pathway_enrichment","freq50","EN","p53 pathway",3,3,1,2,0.666666666666667,14.9504795117698,21,NA
"pathway_enrichment","freq50","EN","PI3K/MTOR signaling",23,15,0.652173913043478,15,0.652173913043478,17.8032245275539,29,NA
"pathway_enrichment","freq50","EN","Protein stability and degradation",8,4,0.5,4,0.5,12.6880270980334,6,NA
"pathway_enrichment","freq50","EN","RTK signaling",24,7,0.291666666666667,5,0.208333333333333,13.0944464831165,6,NA
"pathway_enrichment","freq50","EN","Unknown",3,2,0.666666666666667,2,0.666666666666667,10.6310414685575,37,NA
"pathway_enrichment","freq50","EN","WNT signaling",5,4,0.8,4,0.8,16.8125465887245,42,NA
"og_tsg_breakdown","freq50","DSEN","all_signs",367,233,0.634877384196185,167,0.455040871934605,228,172,NA
"og_tsg_breakdown","freq50","EN","all_signs",936,599,0.639957264957265,480,0.512820512820513,618,461,NA
"phase2_decision","freq50","DSEN_vs_EN","decision",265,0,0,NA,NA,7.66540890752507,NA,0.139867753137698
