drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
KIN001-244,0.5,64,7,65,70,7.8125,26.5625,3.125,62.5,0.109375,0.21818181818181817,0.02857142857142857
WHI-P97,0.5,10,8,21,29,40,20,0,40,0.2857142857142857,0.18181818181818182,0
KIN001-260,0.5,75,0,13,13,0,12,0,88,0,0.11392405063291139,0
KIN001-266,0.5,27,17,1,17,29.62962962962963,0,0,70.37037037037037,0.2222222222222222,0.2222222222222222,0.058823529411764705
Masitinib,0.5,14,10,11,20,21.428571428571427,35.714285714285715,7.142857142857143,35.714285714285715,0.2,0.36,0.05
Amuvatinib,0.5,8,23,0,23,75,0,0,25,0.24,0.24,0
MPS-1-IN-1,0.5,28,4,181,185,10.714285714285714,28.571428571428573,0,60.714285714285715,0.10344827586206896,0.054455445544554455,0
NVP-BHG712,0.5,83,20,149,167,6.024096385542169,43.373493975903614,1.2048192771084338,49.397590361445786,0.061855670103092786,0.20192307692307693,0.011976047904191617
OSI-930,0.5,30,5,19,23,6.666666666666667,23.333333333333332,3.3333333333333335,66.66666666666667,0.09375,0.23255813953488372,0.043478260869565216
OSI-027,0.5,86,0,123,123,0,33.72093023255814,0,66.27906976744185,0,0.16111111111111112,0
CX-5461,0.5,4,27,141,162,0,0,100,0,0.14814814814814814,0.024691358024691357,0.037037037037037035
PHA-793887,0.5,90,29,38,67,23.333333333333332,10,0,66.66666666666667,0.21428571428571427,0.23622047244094488,0
PI-103,0.5,86,21,84,102,15.116279069767442,15.116279069767442,3.488372093023256,66.27906976744185,0.17582417582417584,0.18238993710691823,0.029411764705882353
PIK-93,0.5,84,1,6,6,0,0,0,100,0,0,0.16666666666666666
SB52334,0.5,9,3,186,188,0,33.333333333333336,0,66.66666666666667,0,0.015463917525773196,0.005319148936170213
TPCA-1,0.5,6,7,143,148,16.666666666666668,16.666666666666668,0,66.66666666666667,0.08333333333333333,0.013157894736842105,0.013513513513513514
Fedratinib,0.5,113,6,191,196,3.5398230088495577,38.93805309734513,0.8849557522123894,56.63716814159292,0.043859649122807015,0.18846153846153846,0.00510204081632653
WIKI4,0.5,75,1,18,18,0,10.666666666666666,0,89.33333333333333,0,0.09411764705882353,0.05555555555555555
Y-39983,0.5,65,9,48,53,6.153846153846154,23.076923076923077,4.615384615384615,66.15384615384616,0.1044776119402985,0.22916666666666666,0.07547169811320754
YM201636,0.5,40,3,185,186,0,30,2.5,67.5,0.023809523809523808,0.06103286384976526,0.010752688172043012
Tivozanib,0.5,3,0,36,36,0,100,0,0,0,0.08333333333333333,0
GSK690693,0.5,57,2,101,103,1.7543859649122806,47.36842105263158,0,50.87719298245614,0.017241379310344827,0.21212121212121213,0
QL-XI-92,0.5,5,49,72,111,40,0,20,40,0.058823529411764705,0.02654867256637168,0.09009009009009009
XMD13-2,0.5,75,9,95,103,10.666666666666666,17.333333333333332,0,72,0.10526315789473684,0.1337579617834395,0.009708737864077669
QL-X-138,0.5,68,1,28,28,0,11.764705882352942,0,88.23529411764706,0,0.09090909090909091,0.03571428571428571
XMD15-27,0.5,7,30,0,30,100,0,0,0,0.23333333333333334,0.23333333333333334,0
T0901317,0.5,4,0,97,97,0,50,0,50,0,0.020202020202020204,0
Selisistat,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
THZ-2-49,0.5,61,6,107,110,4.918032786885246,26.229508196721312,4.918032786885246,63.9344262295082,0.09836065573770492,0.1476510067114094,0.02727272727272727
KIN001-270,0.5,47,1,2,3,2.127659574468085,4.25531914893617,0,93.61702127659575,0.02127659574468085,0.06382978723404255,0
AICA Ribonucleotide,0.5,68,9,18,27,13.235294117647058,11.764705882352942,0,75,0.1323529411764706,0.21794871794871795,0
Camptothecin,0.5,9,13,0,13,44.44444444444444,0,0,55.55555555555556,0.2222222222222222,0.2222222222222222,0
Vinblastine,0.5,59,38,4,41,44.067796610169495,0,0,55.932203389830505,0.36619718309859156,0.35135135135135137,0.024390243902439025
Cisplatin,0.5,44,14,56,64,9.090909090909092,36.36363636363637,11.363636363636363,43.18181818181818,0.1836734693877551,0.30120481927710846,0.09375
Cytarabine,0.5,17,4,32,36,5.882352941176471,29.41176470588235,0,64.70588235294117,0.05,0.1276595744680851,0
Docetaxel,0.5,91,14,5,19,13.186813186813186,1.098901098901099,0,85.71428571428571,0.12903225806451613,0.13402061855670103,0
Methotrexate,0.5,41,8,1,9,12.195121951219512,2.4390243902439024,0,85.36585365853658,0.11363636363636363,0.13636363636363635,0
Tretinoin,0.5,23,7,71,71,0,39.130434782608695,21.73913043478261,39.130434782608695,0.2,0.175,0.09859154929577464
Gefitinib,0.5,7,1,4,5,14.285714285714286,14.285714285714286,0,71.42857142857143,0.14285714285714285,0.2,0
Navitoclax,0.5,98,47,54,87,25.510204081632654,9.183673469387756,12.244897959183673,53.06122448979592,0.3425925925925926,0.33093525179856115,0.16091954022988506
Vorinostat,0.5,68,25,70,91,25,19.11764705882353,5.882352941176471,50,0.2916666666666667,0.272,0.04395604395604396
Nilotinib,0.5,14,19,1,19,57.142857142857146,0,7.142857142857143,35.714285714285715,0.375,0.375,0.05263157894736842
Refametinib_repl_1014,0.5,8,5,90,92,0,50,12.5,37.5,0.08333333333333333,0.05263157894736842,0.03260869565217391
CI-1040,0.5,8,12,9,17,25,0,25,50,0.25,0.19047619047619047,0.23529411764705882
Temsirolimus,0.5,30,0,28,28,0,6.666666666666667,0,93.33333333333333,0,0.03571428571428571,0
Olaparib_repl_1017,0.5,0,3,34,35,NA,NA,NA,NA,0,0,0.05714285714285714
Veliparib,0.5,0,1,14,14,NA,NA,NA,NA,0,0,0.07142857142857142
Bosutinib,0.5,21,1,25,25,0,9.523809523809524,4.761904761904762,85.71428571428571,0.047619047619047616,0.06976744186046512,0.04
Lenalidomide,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
Axitinib,0.5,3,0,7,7,0,66.66666666666667,0,33.333333333333336,0,0.25,0
AZD7762,0.5,105,57,38,93,37.142857142857146,1.9047619047619047,1.9047619047619047,59.04761904761905,0.33884297520661155,0.27741935483870966,0.021505376344086023
GW441756,0.5,0,16,6,19,NA,NA,NA,NA,0,0,0.15789473684210525
Lestauritinib,0.5,78,57,16,71,35.8974358974359,1.2820512820512822,2.5641025641025643,60.256410256410255,0.2857142857142857,0.2627118644067797,0.028169014084507043
SNX-2112,0.5,6,2,30,31,0,0,0,100,0,0,0.03225806451612903
THZ-2-102-1,0.5,86,25,73,98,22.093023255813954,10.465116279069768,0,67.44186046511628,0.20652173913043478,0.1794871794871795,0
SB216763,0.5,6,16,0,16,100,0,0,0,0.375,0.375,0
Erlotinib,0.5,1,0,64,64,0,0,0,100,0,0,0
Rapamycin,0.5,0,3,65,66,NA,NA,NA,NA,0,0,0.030303030303030304
Sunitinib,0.5,24,5,69,71,0,29.166666666666668,8.333333333333334,62.5,0.07407407407407407,0.10465116279069768,0.04225352112676056
PHA-665752,0.5,0,6,0,6,NA,NA,NA,NA,0,0,0
MG-132,0.5,4,123,17,125,0,0,25,75,0.007936507936507936,0.0078125,0.12
