drug,threshold,n_en_genes,n_dsen_shared_genes,n_dsen_tissue_genes,n_dsen_combined_genes,en_genes_shared_only_pct,en_genes_tissue_only_pct,en_genes_both_pct,en_genes_in_neither_dsen_block_pct,jaccard_en_vs_dsen_shared,jaccard_en_vs_dsen_combined,jaccard_dsen_shared_vs_tissue
Etoposide,0.5,39,23,6,29,38.46153846153846,2.5641025641025643,0,58.97435897435897,0.3191489361702128,0.3076923076923077,0
Gemcitabine,0.5,9,4,0,4,33.333333333333336,0,0,66.66666666666667,0.3,0.3,0
Mitomycin-C,0.5,4,3,1,4,25,0,0,75,0.16666666666666666,0.14285714285714285,0
Vinorelbine,0.5,16,4,0,4,25,0,0,75,0.25,0.25,0
NSC-87877,0.5,0,0,4,4,NA,NA,NA,NA,NA,0,0
Bicalutamide_repl_150,0.5,0,29,84,96,NA,NA,NA,NA,0,0,0.17708333333333334
QS11,0.5,4,1,0,1,25,0,0,75,0.25,0.25,0
CP466722,0.5,95,13,216,224,8.421052631578947,27.36842105263158,4.2105263157894735,60,0.125,0.13523131672597866,0.022321428571428572
Midostaurin,0.5,31,21,0,21,35.483870967741936,0,0,64.51612903225806,0.2682926829268293,0.2682926829268293,0
CHIR-99021_repl_154,0.5,0,0,19,19,NA,NA,NA,NA,NA,0,0
Ponatinib,0.5,23,1,6,7,4.3478260869565215,8.695652173913043,0,86.95652173913044,0.043478260869565216,0.1111111111111111,0
AZD6482_repl_156,0.5,0,27,15,38,NA,NA,NA,NA,0,0,0.10526315789473684
JNK-9L,0.5,34,14,0,14,32.35294117647059,0,0,67.6470588235294,0.2972972972972973,0.2972972972972973,0
PF-562271,0.5,23,17,0,17,65.21739130434783,0,0,34.78260869565217,0.6,0.6,0
HG6-64-1,0.5,70,4,3,7,5.714285714285714,2.857142857142857,0,91.42857142857143,0.05714285714285714,0.08450704225352113,0
JQ1_repl_163,0.5,3,0,1,1,0,0,0,100,0,0,0
JQ12,0.5,1,0,1,1,0,0,0,100,0,0,0
DMOG,0.5,57,10,1,10,12.280701754385966,0,1.7543859649122806,85.96491228070175,0.13559322033898305,0.13559322033898305,0.1
FTI-277,0.5,1,5,21,26,0,0,0,100,0,0,0
OSU-03012,0.5,53,30,0,30,28.30188679245283,0,0,71.69811320754717,0.22058823529411764,0.22058823529411764,0
Shikonin,0.5,25,1,0,1,4,0,0,96,0.04,0.04,0
AKT inhibitor VIII,0.5,1,39,1,39,0,0,0,100,0,0,0.02564102564102564
Embelin,0.5,23,17,5,20,34.78260869565217,8.695652173913043,4.3478260869565215,52.17391304347826,0.2903225806451613,0.34375,0.1
FH535,0.5,11,2,26,27,9.090909090909092,18.181818181818183,9.090909090909092,63.63636363636363,0.18181818181818182,0.11764705882352941,0.037037037037037035
PAC-1,0.5,14,0,57,57,0,21.428571428571427,0,78.57142857142857,0,0.04411764705882353,0
IPA-3,0.5,53,18,52,67,16.9811320754717,9.433962264150944,3.7735849056603774,69.81132075471699,0.18333333333333332,0.15384615384615385,0.04477611940298507
GSK650394,0.5,4,7,0,7,50,0,0,50,0.2222222222222222,0.2222222222222222,0
BAY-61-3606,0.5,47,12,50,59,14.893617021276595,2.127659574468085,6.382978723404255,76.59574468085107,0.20408163265306123,0.11578947368421053,0.05084745762711865
5-Fluorouracil,0.5,61,13,130,140,11.475409836065573,27.868852459016395,4.918032786885246,55.73770491803279,0.15625,0.15517241379310345,0.02142857142857143
Thapsigargin,0.5,4,14,0,14,0,0,0,100,0,0,0
Obatoclax Mesylate,0.5,37,0,39,39,0,13.513513513513514,0,86.48648648648648,0,0.07042253521126761,0
BMS-754807,0.5,45,3,37,39,4.444444444444445,17.77777777777778,2.2222222222222223,75.55555555555556,0.06666666666666667,0.1506849315068493,0.02564102564102564
Linsitinib,0.5,29,8,22,27,6.896551724137931,27.586206896551722,6.896551724137931,58.62068965517241,0.12121212121212122,0.2727272727272727,0.1111111111111111
Bexarotene,0.5,0,2,0,2,NA,NA,NA,NA,0,0,0
Bleomycin,0.5,9,2,0,2,22.22222222222222,0,0,77.77777777777777,0.2222222222222222,0.2222222222222222,0
LFM-A13,0.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
GW-2580,0.5,0,0,3,3,NA,NA,NA,NA,NA,0,0
Luminespib,0.5,2,2,0,2,100,0,0,0,1,1,0
Phenformin,0.5,36,0,0,0,0,0,0,100,0,0,NA
Bryostatin 1,0.5,0,1,13,13,NA,NA,NA,NA,0,0,0.07692307692307693
Pazopanib,0.5,23,19,3,19,39.130434782608695,0,13.043478260869565,47.82608695652174,0.4,0.4,0.15789473684210525
Dacinostat,0.5,48,18,62,78,33.333333333333336,18.75,4.166666666666667,43.75,0.375,0.2727272727272727,0.02564102564102564
Epothilone B,0.5,4,2,0,2,50,0,0,50,0.5,0.5,0
