threshold,n_drugs,en_any_pct,en_any_n,dsen_shared_any_pct,dsen_shared_any_n,dsen_tissue_any_pct,dsen_tissue_any_n,dsen_combined_any_pct,dsen_combined_any_n
0.005,220,50.45454545454545,111,40.909090909090914,90,48.63636363636364,107,63.63636363636363,140
0.05,220,26.36363636363636,58,17.727272727272727,39,25.90909090909091,57,34.54545454545455,76
0.1,220,20,44,15,33,20,44,26.81818181818182,59
0.25,220,14.09090909090909,31,10.909090909090908,24,12.272727272727273,27,17.272727272727273,38
0.5,220,8.636363636363637,19,7.727272727272727,17,5.454545454545454,12,10.454545454545453,23
0.75,220,5,11,3.6363636363636362,8,2.727272727272727,6,5.909090909090909,13
