quartile,n_drugs,win_rate_pct,mean_improvement_pct,median_improvement_pct,quartile_label
1,67,89.55223880597015,2.6481997711668552,1.465566387236496,Q1
2,66,92.42424242424242,5.077262315659763,3.832656124883311,Q2
3,66,90.9090909090909,6.393895624838019,6.331730668125947,Q3
4,66,96.96969696969697,5.731383539704648,5.304589777830953,Q4
