"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"SOX2","OG",1,0,0,"multiple"
"SOX21","TSG",0,1,0,"multiple"
"SPEN","TSG",0,1,0,"breast"
"SPOP","TSG",0,1,0,"breast;pan-gynecological and breast;prostate;uterus"
"SRC","OG",1,0,0,"multiple"
"SRSF2","OG",1,0,0,"blood"
"SRSF3","OG;fusion",1,0,1,"multiple"
"SSX1","OG;fusion",1,0,1,"multiple"
"SSX2","OG;fusion",1,0,1,"multiple"
"SSX4","OG;fusion",1,0,1,"multiple"
"STAG1","TSG",0,1,0,"multiple"
"STAG2","TSG",0,1,0,"bladder;blood;bone;brain;breast;kidney"
"STAT3","OG",1,0,0,"adrenal_gland;blood"
"STAT5B","OG;TSG;fusion",1,1,1,"blood"
"STAT6","OG;fusion",1,0,1,"blood"
"STIL","OG;fusion",1,0,1,"multiple"
"STK11","TSG",0,1,0,"breast;cervix;esophagus;hepatobiliary;lung"
"SUFU","TSG",0,1,0,"skin"
"SUZ12","OG;TSG;fusion",1,1,1,"blood;peripheral_nervous_system"
"SYK","OG;fusion",1,0,1,"blood;skin;soft_tissue"
"TAF15","OG;fusion",1,0,1,"multiple"
"TAL1","OG;fusion",1,0,1,"multiple"
"TAL2","OG;fusion",1,0,1,"multiple"
"TBL1XR1","OG;TSG;fusion",1,1,1,"blood;breast;hepatobiliary"
"TBX3","OG;TSG",1,1,0,"breast;pan-gynecological and breast"
"TCF3","OG;TSG;fusion",1,1,1,"blood"
"TCF7L2","OG;fusion",1,0,1,"colorectal;pan-gastric"
"TCL1A","OG;fusion",1,0,1,"blood"
"TEC","OG;fusion",1,0,1,"blood"
"TENT5C","TSG",0,1,0,"blood"
"TERT","OG;TSG",1,1,0,"bladder;hepatobiliary;skin;thyroid"
"TET1","OG;TSG;fusion",1,1,1,"blood;head_and_neck"
"TET2","TSG",0,1,0,"blood;breast;head_and_neck"
"TFE3","OG;fusion",1,0,1,"multiple"
"TFEB","OG;fusion",1,0,1,"multiple"
"TGFBR2","TSG",0,1,0,"breast;cervix;colorectal;esophagus;head_and_neck;hepatobiliary;pan-gastric;pancreas;small_intestine;stomach"
"TLX1","OG;fusion",1,0,1,"multiple"
"TLX3","OG;fusion",1,0,1,"multiple"
"TMEM127","TSG",0,1,0,"multiple"
"TNC","OG",1,0,0,"skin"
"TNFAIP3","TSG",0,1,0,"blood;breast"
"TNFRSF14","TSG",0,1,0,"blood"
"TNFRSF17","OG;fusion",1,0,1,"multiple"
"TP53","OG;TSG;fusion",1,1,1,"adrenal_gland;bladder;blood;bone;brain;breast;colorectal;esophagus;head_and_neck;hepatobiliary;kidney;lung;ovary;pan-gastric;pan-gynecological and breast;pancreas;penis;peripheral_nervous_system;pleura;prostate;skin;small_intestine;soft_tissue;stomach;thymus;thyroid;uterus"
"TP63","OG;TSG",1,1,0,"brain;breast;head_and_neck;skin"
"TPM3","TSG;fusion",0,1,1,"multiple"
"TRAF7","TSG",0,1,0,"brain;thyroid"
"TRIM24","OG;TSG;fusion",1,1,1,"multiple"
"TRIM27","OG;fusion",1,0,1,"multiple"
"TRIM33","TSG;fusion",0,1,1,"multiple"
"TRRAP","OG",1,0,0,"bladder;kidney"
"TSC1","TSG",0,1,0,"bladder;breast;head_and_neck;hepatobiliary;kidney"
