"gene_symbol","role","is_og","is_tsg","is_fusion","tumour_types_somatic"
"IDH1","OG",1,0,0,"blood;bone;brain;hepatobiliary;prostate;skin"
"IDH2","OG",1,0,0,"blood;bone;brain;hepatobiliary"
"IGF2BP2","TSG",0,1,0,"multiple"
"IKBKB","OG",1,0,0,"blood;hepatobiliary"
"IKZF1","TSG;fusion",0,1,1,"blood"
"IL6ST","OG",1,0,0,"hepatobiliary"
"IL7R","OG",1,0,0,"blood;colorectal;head_and_neck"
"IRF4","OG;TSG;fusion",1,1,1,"blood;stomach"
"IRS4","OG;TSG",1,1,0,"breast"
"JAK1","OG;TSG",1,1,0,"blood;esophagus;uterus"
"JAK2","OG;fusion",1,0,1,"blood;lung"
"JAK3","OG",1,0,0,"blood"
"JUN","OG",1,0,0,"multiple"
"KAT6A","OG;fusion",1,0,1,"esophagus"
"KAT6B","TSG;fusion",0,1,1,"multiple"
"KAT7","OG",1,0,0,"multiple"
"KCNJ5","OG",1,0,0,"multiple"
"KDM5A","OG;fusion",1,0,1,"multiple"
"KDM5C","TSG",0,1,0,"kidney"
"KDM6A","OG;TSG",1,1,0,"bladder;blood;brain;breast;colorectal;esophagus;kidney;lung;pancreas;prostate;small_intestine;soft_tissue;stomach;thyroid"
"KDR","OG",1,0,0,"hepatobiliary;lung;skin"
"KEAP1","TSG",0,1,0,"hepatobiliary;kidney;lung"
"KIT","OG",1,0,0,"blood;brain;breast;skin;soft_tissue;testis"
"KLF4","OG;TSG",1,1,0,"brain"
"KLF6","TSG",0,1,0,"breast"
