drug_name,target_gene,target_pathway,source
Dacinostat,HDAC1,Chromatin histone acetylation,GDSC
Epothilone B,MICROTUBULE STABILISER,Mitosis,GDSC
GSK1904529A,IGF1R,RTK signaling,GDSC
BMS-345541,IKK1,"Other, kinases",GDSC
Tipifarnib,FARNESYL-TRANSFERASE (FNTA),Other,GDSC
Avagacestat_repl_205,AMYLOID BETA20,Other,GDSC
Ruxolitinib,JAK1,"Other, kinases",GDSC
AS601245,JNK1,JNK and p38 signaling,GDSC
Ispinesib Mesylate,KSP,Mitosis,GDSC
TL-2-105,NOT DEFINED,Other,GDSC
AT-7519,CDK1,Cell cycle,GDSC
TAK-715,P38ALPHA,JNK and p38 signaling,GDSC
BX-912,PDK1 (PDPK1),Metabolism,GDSC
ZSTK474,PI3K (CLASS 1),PI3K/MTOR signaling,GDSC
AS605240,PI3KGAMMA,PI3K/MTOR signaling,GDSC
Genentech Cpd 10,AURKA,Mitosis,GDSC
GSK1070916,AURKA,Mitosis,GDSC
AKT inhibitor VIII_repl_228,AKT1,PI3K/MTOR signaling,GDSC
Enzastaurin,PKCB,"Other, kinases",GDSC
GSK429286A,ROCK1,Cytoskeleton,GDSC
FMK,RSK,"Other, kinases",GDSC
QL-XII-47,BTK,"Other, kinases",GDSC
Idelalisib,PI3KDELTA,PI3K/MTOR signaling,GDSC
UNC0638_repl_245,G9A AND GLP METHYLTRANSFERASES,Chromatin histone methylation,GDSC
Cabozantinib,KDR,RTK signaling,GDSC
WZ3105,SRC,Other,GDSC
XMD14-99,ALK,"Other, kinases",GDSC
Quizartinib,FLT3,RTK signaling,GDSC
CP724714,ERBB2,EGFR signaling,GDSC
JW-7-24-1,LCK,"Other, kinases",GDSC
NPK76-II-72-1,PLK3,Cell cycle,GDSC
STF-62247,AUTOPHAGY INDUCER,Other,GDSC
NG-25,TAK1,"Other, kinases",GDSC
TL-1-85,TAK1,"Other, kinases",GDSC
VX-11e,ERK2,ERK MAPK signaling,GDSC
FR-180204,ERK1,ERK MAPK signaling,GDSC
Tubastatin A,HDAC1,Chromatin histone acetylation,GDSC
Zibotentan,ENDOTHELIN-1 RECEPTOR (EDNRA),Other,GDSC
Sepantronium bromide,BIRC5,Apoptosis regulation,GDSC
NSC-207895,MDM4,p53 pathway,GDSC
VNLG/124,HDAC1,Chromatin histone acetylation,GDSC
AR-42,HDAC1,Chromatin histone acetylation,GDSC
CUDC-101,HDAC1-10,Other,GDSC
Belinostat,HDAC1,Chromatin histone acetylation,GDSC
I-BET-762,BRD2,Chromatin other,GDSC
CAY10603,HDAC1,Chromatin histone acetylation,GDSC
Linifanib,VEGFR1,RTK signaling,GDSC
BIX02189,MEK5,ERK MAPK signaling,GDSC
Alectinib,ALK,RTK signaling,GDSC
Pelitinib,EGFR,EGFR signaling,GDSC
Omipalisib,PI3K (CLASS 1),PI3K/MTOR signaling,GDSC
KIN001-236,HDAC6,Chromatin histone acetylation,GDSC
KIN001-244,PDK1,"Other, kinases",GDSC
WHI-P97,JAK3,"Other, kinases",GDSC
KIN001-260,CDC7,DNA replication,GDSC
KIN001-266,CDC7,DNA replication,GDSC
Masitinib,KIT,RTK signaling,GDSC
Amuvatinib,KIT,RTK signaling,GDSC
MPS-1-IN-1,MPS1,Mitosis,GDSC
NVP-BHG712,EPHB4,"Other, kinases",GDSC
OSI-930,KIT,RTK signaling,GDSC
OSI-027,MTOR,PI3K/MTOR signaling,GDSC
CX-5461,RNA POLYMERASE 1,Other,GDSC
PHA-793887,CDK2,Cell cycle,GDSC
PI-103,PI3KALPHA,"Other, kinases",GDSC
PIK-93,PK3CG,PI3K/MTOR signaling,GDSC
SB52334,ALK5,RTK signaling,GDSC
TPCA-1,IKK2,"Other, kinases",GDSC
Fedratinib,JAK2,"Other, kinases",GDSC
WIKI4,TNKS1,WNT signaling,GDSC
Y-39983,ROCK,Cytoskeleton,GDSC
YM201636,PIKFYVE,PI3K/MTOR signaling,GDSC
Tivozanib,VEGFR1,RTK signaling,GDSC
GSK690693,AKT1,PI3K/MTOR signaling,GDSC
QL-XI-92,DDR1,Cytoskeleton,GDSC
XMD13-2,MRCKB,Cytoskeleton,GDSC
QL-X-138,BTK,"Other, kinases",GDSC
XMD15-27,CAMK2,"Other, kinases",GDSC
T0901317,LXR,Other,GDSC
Selisistat,SIRT1,Chromatin histone acetylation,GDSC
THZ-2-49,CDK9,Cell cycle,GDSC
