"drug","mse_en","mse_dsen","mse_tglasso","pct_improvement_dsen","pct_improvement_tglasso","winner"
"Tanespimycin",0.0321927669431858,0.0301971221764462,0.0402177928482694,6.19904704141007,-24.9280402621069,"DSEN"
"VX-702",0.00108501046332997,0.00107940382919899,0.00109977962786886,0.516735489699613,-1.3612001946564,"DSEN"
"Motesanib",0.00258533827037053,0.00257914429704109,0.00265342948548985,0.239580769774958,-2.6337449106635,"DSEN"
"KU-55933",0.0018728465230396,0.00181365880279263,0.00196082772380776,3.16030809352756,-4.69772614497892,"DSEN"
"Elesclomol",0.0416438109836041,0.0402516915350908,0.045515261612186,3.34292038992637,-9.29658102162206,"DSEN"
"Afatinib",0.0136151641334491,0.0119827469814119,0.0156377842292588,11.9896986627341,-14.8556423997903,"DSEN"
"Vismodegib",0.000701979695789305,0.000695790864912181,0.000709948019882074,0.881625339628277,-1.13512173365776,"DSEN"
"PLX-4720",0.0060200552648006,0.00646534590161351,0.00785323382458837,-7.39678652813264,-30.4511915448087,"EN"
"BX796",0.00938158218596367,0.00879233943250888,0.0104375770404285,6.28084625572421,-11.2560422488732,"DSEN"
"NU7441",0.00141729796247874,0.00140483364418839,0.00143274474305734,0.879442334662709,-1.08987531115791,"DSEN"
"SL0101",0.00047961390260761,0.000479991241550476,0.000485843733481051,-0.0786755639931279,-1.29892624871173,"EN"
"Doramapimod",0.00151039253203428,0.00151249407706769,0.00155975753095857,-0.13913899789874,-3.26835560142782,"EN"
"JNK Inhibitor VIII",0.000592487864282268,0.000567428712093069,0.000645366769117694,4.22947940369299,-8.92489247851225,"DSEN"
"681640",0.00322503195690063,0.00317025900713667,0.00332790361033565,1.69836920985424,-3.18978710319148,"DSEN"
"Nutlin-3a (-)",0.00364171154473289,0.00363685171736423,0.00388250821548745,0.133448992567489,-6.6121840732507,"DSEN"
"PD173074",0.00372289434124229,0.00351640886855815,0.00382233722342273,5.54636940395247,-2.67111749798563,"DSEN"
"ZM447439",0.00601072673536779,0.00596300669880996,0.00658998615347035,0.793914590677361,-9.63709454123297,"DSEN"
"RO-3306",0.00212450632948139,0.00204006058932715,0.00224759271939137,3.9748406009623,-5.79364665578691,"DSEN"
"MK-2206",0.0168133607657491,0.0165689433427254,0.0180111508740229,1.45370950180055,-7.12403739479526,"DSEN"
"Palbociclib",0.0168701110538526,0.0169853098381321,0.0184313534125037,-0.682857296622192,-9.2544877367275,"EN"
"Dactolisib",0.0195903014680864,0.0194037065261841,0.0209729396713051,0.952486321898995,-7.05776889381253,"DSEN"
"Pictilisib",0.0266504614224311,0.02556840155117,0.0286821792501872,4.06019188227021,-7.6235746749437,"DSEN"
"AZD8055",0.0155184097838863,0.014127717013912,0.0186318231787276,8.9615675145938,-20.0627089901579,"DSEN"
"PD0325901",0.0265542173218913,0.0252318293398002,0.0324183859478786,4.97995465677282,-22.0837562444474,"DSEN"
"SB590885",0.00465561926128401,0.00498498938197053,0.00622905642150456,-7.07467905345165,-33.7965171100912,"EN"
"Selumetinib",0.012886004106541,0.0123451703950018,0.0142859965187577,4.19706300779984,-10.8644417667542,"DSEN"
"AZD6482",0.010521366256429,0.0104051311711605,0.0111778874201755,1.10475277103366,-6.23988508474683,"DSEN"
"CCT007093",0.000654029599287585,0.000652564300609741,0.000711293173596896,0.224041645735934,-8.75550194848772,"DSEN"
"EHT-1864",0.00152164991404481,0.00153875129781283,0.00155650663968395,-1.12387110925939,-2.29071912779758,"EN"
"Avagacestat",0.00167883638682014,0.00163310985562132,0.00173287399926756,2.72370384379325,-3.21875394598588,"DSEN"
"BMS-536924",0.00697671826007175,0.00687606163030983,0.00725991910956063,1.44275038792932,-4.05922726032464,"DSEN"
"Cetuximab",0.00467135688072477,0.00465082899393462,0.00505797284858748,0.43944162936584,-8.27630981178055,"DSEN"
"PF-4708671",0.00184952022155048,0.00184456287497583,0.0018677981533088,0.268034191618306,-0.988252604396912,"DSEN"
"Serdemetan",0.00541727346318786,0.00529779552592777,0.00559766350643987,2.20549946521956,-3.32990469242174,"DSEN"
"HG-5-113-01",0.0109476176308654,0.0101884978418584,0.011661701804696,6.93410945288004,-6.52273579429129,"DSEN"
"HG-5-88-01",0.00962269891871164,0.00913806769223203,0.0100153379139983,5.03633367908072,-4.08034168587734,"DSEN"
"TW 37",0.0211726257691191,0.0206948126259066,0.0221584798619757,2.25674958043892,-4.65626750128697,"DSEN"
"XMD11-85h",0.00142373422729052,0.0013831822314482,0.00149580308868843,2.8482841154626,-5.06196030245496,"DSEN"
"ZG-10",0.012420876268069,0.0117432799655186,0.0141642447440476,5.45530192819272,-14.0357929533552,"DSEN"
"XMD8-92",0.00292504381872825,0.00277200289587069,0.00328099621105312,5.23208992212975,-12.1691302552736,"DSEN"
"QL-VIII-58",0.036603786845368,0.0349559699043486,0.0429539193678386,4.50176630079442,-17.348293905482,"DSEN"
"CCT-018159",0.00363840471266528,0.00362710583983715,0.00394032585470012,0.310544695283584,-8.29817367440882,"DSEN"
"Rucaparib",0.00187893478161658,0.00185139774501912,0.00194749081825758,1.46556638723606,-3.64866504743802,"DSEN"
"GSK269962A",0.0150362517755519,0.0148283686740838,0.0159222281288726,1.38254602657096,-5.89226867537061,"DSEN"
"SB-505124",0.00104904455528063,0.001045294070459,0.00109537117440077,0.35751434986731,-4.41607736172343,"DSEN"
"Tamoxifen",0.000930227005530645,0.000930761516706349,0.000958818072788183,-0.0574602943718161,-3.07355807642117,"EN"
"QL-XII-61",0.00580632137892699,0.00542302523119906,0.00653985018781662,6.60135949620418,-12.6332795072598,"DSEN"
"JQ1",0.00420338188580499,0.00397377582343879,0.00476165739463611,5.46241261450905,-13.281579547089,"DSEN"
"PFI-1",0.00631279016781041,0.00614369502218052,0.0071043278555206,2.678611852048,-12.538634528775,"DSEN"
"IOX2",0.00110592796152512,0.00110588284777741,0.00114391586961669,0.00407926639704196,-3.43493513259065,"DSEN"
"UNC0638",0.00903382876867808,0.00879410507683945,0.010742098109704,2.6536222677786,-18.9096936057588,"DSEN"
